q,q_mod30,w,tau_w,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_fixed_point,endpoint_family,factor_signature,least_factor,least_factor_mod30,cofactor,cofactor_mod30,cofactor_tau,cofactor_family,reduced_obstruction_family,low_complexity_cofactor_obstruction,higher_cofactor_obstruction,second_factor,second_factor_mod30,second_remainder,second_remainder_mod30,second_remainder_tau,second_remainder_family,second_strip_family,second_strip_low_complexity_remainder,third_factor,third_factor_mod30,third_remainder,third_remainder_mod30,third_remainder_tau,third_remainder_family,third_strip_family,third_strip_low_complexity_remainder,third_strip_prime_power_tail
11,11,12,6,13,13,unresolved,prime_closure,2,True,fixed_point,13,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
17,17,18,6,19,19,unresolved,prime_closure,2,True,fixed_point,19,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
29,29,30,8,31,1,unresolved,prime_closure,2,True,fixed_point,31,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
41,11,42,8,43,13,unresolved,prime_closure,2,True,fixed_point,43,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
47,17,48,10,49,19,excluded,composite_obstruction,3,False,prime_square,7^2,7,7,7,7,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
59,29,60,12,61,1,unresolved,prime_closure,2,True,fixed_point,61,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
71,11,72,12,73,13,unresolved,prime_closure,2,True,fixed_point,73,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
89,29,90,12,91,1,excluded,composite_obstruction,4,False,semiprime_distinct,7*13,7,7,13,13,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
101,11,102,8,103,13,unresolved,prime_closure,2,True,fixed_point,103,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
107,17,108,12,109,19,unresolved,prime_closure,2,True,fixed_point,109,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
131,11,132,12,133,13,excluded,composite_obstruction,4,False,semiprime_distinct,7*19,7,7,19,19,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
137,17,138,8,139,19,unresolved,prime_closure,2,True,fixed_point,139,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
149,29,150,12,151,1,unresolved,prime_closure,2,True,fixed_point,151,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
167,17,168,16,169,19,excluded,composite_obstruction,3,False,prime_square,13^2,13,13,13,13,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
179,29,180,18,181,1,unresolved,prime_closure,2,True,fixed_point,181,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
