candidate_mod30,least_factor_mod30,cofactor_mod30,second_factor_mod30,second_remainder_mod30,second_strip_family,second_factor,second_remainder_family,count
19,7,7,7,1,second_factor_times_semiprime_remainder,7,semiprime_distinct,109
1,7,13,7,19,second_factor_times_semiprime_remainder,7,semiprime_distinct,106
13,7,19,7,7,second_factor_times_semiprime_remainder,7,semiprime_distinct,95
19,7,7,11,17,second_factor_times_semiprime_remainder,11,semiprime_distinct,63
13,7,19,11,29,second_factor_times_semiprime_remainder,11,semiprime_distinct,58
1,7,13,11,23,second_factor_times_semiprime_remainder,11,semiprime_distinct,52
1,7,13,13,1,second_factor_times_semiprime_remainder,13,semiprime_distinct,47
13,7,19,13,13,second_factor_times_semiprime_remainder,13,semiprime_distinct,45
13,11,23,11,13,second_factor_times_semiprime_remainder,11,semiprime_distinct,39
19,7,7,13,19,second_factor_times_semiprime_remainder,13,semiprime_distinct,37
19,11,29,11,19,second_factor_times_semiprime_remainder,11,semiprime_distinct,27
19,7,7,17,11,second_factor_times_semiprime_remainder,17,semiprime_distinct,26
1,11,11,11,1,second_factor_times_semiprime_remainder,11,semiprime_distinct,25
1,7,13,17,29,second_factor_times_semiprime_remainder,17,semiprime_distinct,24
13,7,19,17,17,second_factor_times_semiprime_remainder,17,semiprime_distinct,22
13,7,19,19,1,second_factor_times_semiprime_remainder,19,semiprime_distinct,22
19,11,29,13,23,second_factor_times_semiprime_remainder,13,semiprime_distinct,22
1,11,11,13,17,second_factor_times_semiprime_remainder,13,semiprime_distinct,21
19,7,7,7,1,second_factor_times_higher_remainder,7,multi_prime_family,21
13,7,19,7,7,second_factor_times_higher_remainder,7,multi_prime_family,19
13,11,23,13,11,second_factor_times_semiprime_remainder,13,semiprime_distinct,18
19,7,7,19,13,second_factor_times_semiprime_remainder,19,semiprime_distinct,18
1,11,11,17,13,second_factor_times_semiprime_remainder,17,semiprime_distinct,17
1,13,7,13,19,second_factor_times_semiprime_remainder,13,semiprime_distinct,17
1,7,13,7,19,second_factor_times_higher_remainder,7,multi_prime_family,16
13,13,1,13,7,second_factor_times_semiprime_remainder,13,semiprime_distinct,16
19,13,13,13,1,second_factor_times_semiprime_remainder,13,semiprime_distinct,14
13,11,23,17,19,second_factor_times_semiprime_remainder,17,semiprime_distinct,13
1,7,13,23,11,second_factor_times_semiprime_remainder,23,semiprime_distinct,12
13,13,1,17,23,second_factor_times_semiprime_remainder,17,semiprime_distinct,12
19,7,7,23,29,second_factor_times_semiprime_remainder,23,semiprime_distinct,12
1,7,13,19,7,second_factor_times_semiprime_remainder,19,semiprime_distinct,11
19,11,29,17,7,second_factor_times_semiprime_remainder,17,semiprime_distinct,11
1,7,13,7,19,second_factor_times_higher_remainder,7,two_prime_power_family,10
13,11,23,19,17,second_factor_times_semiprime_remainder,19,semiprime_distinct,9
1,7,13,7,19,second_factor_times_higher_remainder,7,prime_square,8
1,11,11,19,29,second_factor_times_semiprime_remainder,19,semiprime_distinct,8
13,17,29,17,7,second_factor_times_semiprime_remainder,17,semiprime_distinct,8
19,7,7,7,1,second_factor_times_higher_remainder,7,two_prime_power_family,8
19,13,13,17,29,second_factor_times_semiprime_remainder,17,semiprime_distinct,8
19,17,17,17,1,second_factor_times_semiprime_remainder,17,semiprime_distinct,8
1,13,7,19,13,second_factor_times_semiprime_remainder,19,semiprime_distinct,7
13,7,19,7,7,second_factor_times_higher_remainder,7,two_prime_power_family,7
13,7,19,23,23,second_factor_times_semiprime_remainder,23,semiprime_distinct,7
19,7,7,29,23,second_factor_times_semiprime_remainder,29,semiprime_distinct,7
1,7,13,29,17,second_factor_times_semiprime_remainder,29,semiprime_distinct,6
1,13,7,17,11,second_factor_times_semiprime_remainder,17,semiprime_distinct,6
1,13,7,23,29,second_factor_times_semiprime_remainder,23,semiprime_distinct,6
13,7,19,11,29,second_factor_times_higher_remainder,11,two_prime_power_family,6
13,17,29,19,11,second_factor_times_semiprime_remainder,19,semiprime_distinct,6
19,11,29,19,11,second_factor_times_semiprime_remainder,19,semiprime_distinct,6
1,17,23,19,17,second_factor_times_semiprime_remainder,19,semiprime_distinct,5
13,7,19,29,11,second_factor_times_semiprime_remainder,29,semiprime_distinct,5
13,11,23,23,1,second_factor_times_semiprime_remainder,23,semiprime_distinct,5
13,13,1,19,19,second_factor_times_semiprime_remainder,19,semiprime_distinct,5
13,13,1,23,17,second_factor_times_semiprime_remainder,23,semiprime_distinct,5
13,19,7,19,13,second_factor_times_semiprime_remainder,19,semiprime_distinct,5
19,7,7,7,1,second_factor_times_higher_remainder,7,prime_square,5
19,7,7,13,19,second_factor_times_higher_remainder,13,prime_square,5
19,13,13,19,7,second_factor_times_semiprime_remainder,19,semiprime_distinct,5
19,19,1,19,19,second_factor_times_semiprime_remainder,19,semiprime_distinct,5
1,7,13,11,23,second_factor_times_higher_remainder,11,multi_prime_family,4
1,7,13,13,1,second_factor_times_higher_remainder,13,prime_square,4
1,11,11,11,1,second_factor_times_higher_remainder,11,prime_square,4
1,11,11,23,7,second_factor_times_semiprime_remainder,23,semiprime_distinct,4
1,17,23,17,19,second_factor_times_semiprime_remainder,17,semiprime_distinct,4
13,7,19,1,19,second_factor_times_semiprime_remainder,31,semiprime_distinct,4
19,7,7,1,7,second_factor_times_semiprime_remainder,31,semiprime_distinct,4
19,7,7,7,1,second_factor_times_semiprime_remainder,37,semiprime_distinct,4
19,11,29,29,1,second_factor_times_semiprime_remainder,29,semiprime_distinct,4
19,17,17,19,23,second_factor_times_semiprime_remainder,19,semiprime_distinct,4
1,7,13,7,19,second_factor_times_semiprime_remainder,37,semiprime_distinct,3
1,7,13,11,23,second_factor_times_higher_remainder,11,two_prime_power_family,3
1,7,13,11,23,second_factor_times_semiprime_remainder,41,semiprime_distinct,3
1,11,11,29,19,second_factor_times_semiprime_remainder,29,semiprime_distinct,3
1,13,7,13,19,second_factor_times_higher_remainder,13,prime_square,3
1,19,19,19,1,second_factor_times_semiprime_remainder,19,semiprime_distinct,3
1,19,19,23,23,second_factor_times_semiprime_remainder,23,semiprime_distinct,3
13,7,19,7,7,second_factor_times_semiprime_remainder,37,semiprime_distinct,3
13,7,19,11,29,second_factor_times_higher_remainder,11,multi_prime_family,3
13,11,23,11,13,second_factor_times_higher_remainder,11,multi_prime_family,3
13,11,23,29,7,second_factor_times_semiprime_remainder,29,semiprime_distinct,3
13,17,29,23,13,second_factor_times_semiprime_remainder,23,semiprime_distinct,3
19,11,29,23,13,second_factor_times_semiprime_remainder,23,semiprime_distinct,3
19,17,17,23,19,second_factor_times_semiprime_remainder,23,semiprime_distinct,3
19,23,23,23,1,second_factor_times_higher_remainder,23,prime_square,3
1,7,13,1,13,second_factor_times_semiprime_remainder,31,semiprime_distinct,2
1,11,11,7,23,second_factor_times_semiprime_remainder,37,semiprime_distinct,2
1,11,11,11,1,second_factor_times_higher_remainder,11,two_prime_power_family,2
1,11,11,29,19,second_factor_times_higher_remainder,29,prime_square,2
1,13,7,29,23,second_factor_times_semiprime_remainder,29,semiprime_distinct,2
1,17,23,17,19,second_factor_times_higher_remainder,17,prime_square,2
1,17,23,23,1,second_factor_times_higher_remainder,23,prime_square,2
1,17,23,23,1,second_factor_times_semiprime_remainder,23,semiprime_distinct,2
1,17,23,29,7,second_factor_times_semiprime_remainder,29,semiprime_distinct,2
13,7,19,13,13,second_factor_times_higher_remainder,13,two_prime_power_family,2
13,7,19,23,23,second_factor_times_fixed_point_remainder,83,fixed_point,2
13,7,19,23,23,second_factor_times_fixed_point_remainder,113,fixed_point,2
13,11,23,13,11,second_factor_times_higher_remainder,13,multi_prime_family,2
13,11,23,17,19,second_factor_times_higher_remainder,17,prime_square,2
