candidate_mod30,least_factor_mod30,cofactor_mod30,second_factor_mod30,second_remainder_mod30,third_factor_mod30,third_remainder_mod30,third_strip_family,third_factor,third_remainder_family,count
19,7,7,7,1,7,13,third_factor_times_semiprime_remainder,7,semiprime_distinct,15
1,7,13,7,19,7,7,third_factor_times_semiprime_remainder,7,semiprime_distinct,11
13,7,19,7,7,7,1,third_factor_times_semiprime_remainder,7,semiprime_distinct,11
13,7,19,7,7,11,17,third_factor_times_semiprime_remainder,11,semiprime_distinct,9
13,7,19,11,29,11,19,third_factor_times_semiprime_remainder,11,semiprime_distinct,6
19,7,7,7,1,11,11,third_factor_times_semiprime_remainder,11,semiprime_distinct,6
19,7,7,7,1,13,7,third_factor_times_semiprime_remainder,13,semiprime_distinct,6
1,7,13,7,19,11,29,third_factor_times_semiprime_remainder,11,semiprime_distinct,5
1,7,13,7,19,13,13,third_factor_times_semiprime_remainder,13,semiprime_distinct,5
13,11,23,11,13,11,23,third_factor_times_semiprime_remainder,11,semiprime_distinct,4
1,7,13,11,23,13,11,third_factor_times_semiprime_remainder,13,semiprime_distinct,3
13,7,19,7,7,7,1,third_factor_times_higher_remainder,7,prime_square,3
1,7,13,11,23,11,13,third_factor_times_semiprime_remainder,11,semiprime_distinct,2
1,11,11,11,1,11,11,third_factor_times_semiprime_remainder,11,semiprime_distinct,2
13,7,19,11,29,11,19,third_factor_times_higher_remainder,11,prime_square,2
13,11,23,13,11,13,17,third_factor_times_semiprime_remainder,13,semiprime_distinct,2
19,7,7,11,17,11,7,third_factor_times_semiprime_remainder,11,semiprime_distinct,2
19,7,7,13,19,13,13,third_factor_times_semiprime_remainder,13,semiprime_distinct,2
1,7,13,7,19,7,7,third_factor_times_fixed_point_remainder,7,fixed_point,1
1,7,13,7,19,7,7,third_factor_times_fixed_point_remainder,37,fixed_point,1
1,7,13,7,19,7,7,third_factor_times_fixed_point_remainder,67,fixed_point,1
1,7,13,7,19,7,7,third_factor_times_higher_remainder,7,prime_cube,1
1,7,13,7,19,7,7,third_factor_times_higher_remainder,7,two_prime_power_family,1
1,7,13,7,19,13,13,third_factor_times_fixed_point_remainder,43,fixed_point,1
1,7,13,7,19,17,17,third_factor_times_fixed_point_remainder,17,fixed_point,1
1,7,13,7,19,17,17,third_factor_times_fixed_point_remainder,137,fixed_point,1
1,7,13,7,19,17,17,third_factor_times_semiprime_remainder,17,semiprime_distinct,1
1,7,13,7,19,19,1,third_factor_times_higher_remainder,19,prime_square,1
1,7,13,7,19,23,23,third_factor_times_fixed_point_remainder,23,fixed_point,1
1,7,13,7,19,23,23,third_factor_times_fixed_point_remainder,53,fixed_point,1
1,7,13,7,19,23,23,third_factor_times_semiprime_remainder,23,semiprime_distinct,1
1,7,13,11,23,17,19,third_factor_times_higher_remainder,17,prime_square,1
1,7,13,11,23,19,17,third_factor_times_semiprime_remainder,19,semiprime_distinct,1
1,7,13,13,1,1,1,third_factor_times_fixed_point_remainder,61,fixed_point,1
1,7,13,13,1,11,11,third_factor_times_fixed_point_remainder,71,fixed_point,1
1,7,13,13,1,11,11,third_factor_times_fixed_point_remainder,101,fixed_point,1
1,7,13,13,1,13,7,third_factor_times_semiprime_remainder,13,semiprime_distinct,1
1,7,13,13,1,17,23,third_factor_times_semiprime_remainder,17,semiprime_distinct,1
1,7,13,13,1,29,29,third_factor_times_fixed_point_remainder,59,fixed_point,1
1,11,11,11,1,1,1,third_factor_times_fixed_point_remainder,31,fixed_point,1
1,11,11,11,1,1,1,third_factor_times_fixed_point_remainder,61,fixed_point,1
1,11,11,11,1,11,11,third_factor_times_fixed_point_remainder,11,fixed_point,1
