label,digits,candidate_bound,factor_bound,wheel_open,closed,open,closure_rate,first_open_offset,expected_gap,pre_expected_open,expected_closed,first_open_matches_expected
10^3,4,4096,70000000,1093,581,512,0.531564501372,9,9,0,0,1
10^4,5,4096,70000000,1093,660,433,0.603842634950,7,7,0,0,1
10^5,6,4096,70000000,1093,743,350,0.679780420860,3,3,0,0,1
10^6,7,4096,70000000,1093,781,312,0.714547118024,3,3,0,0,1
10^7,8,4096,70000000,1093,842,251,0.770356816102,19,19,0,0,1
10^8,9,4096,70000000,1093,865,228,0.791399817017,7,7,0,0,1
10^9,10,4096,70000000,1093,899,194,0.822506861848,7,7,0,0,1
10^10,11,4096,70000000,1093,923,170,0.844464775846,19,19,0,0,1
10^11,12,4096,70000000,1093,925,168,0.846294602013,3,3,0,0,1
10^12,13,4096,70000000,1093,953,140,0.871912168344,39,39,0,0,1
10^13,14,4096,70000000,1093,937,156,0.857273559012,37,37,0,0,1
10^14,15,4096,70000000,1093,983,110,0.899359560842,31,31,0,0,1
10^15,16,4096,70000000,1093,987,106,0.903019213175,37,37,0,0,1
10^16,17,4096,70000000,1093,984,109,0.900274473925,61,61,0,0,1
10^17,18,4096,70000000,1093,972,121,0.889295516926,3,3,0,0,1
10^18,19,4096,70000000,1093,978,115,0.894784995425,3,3,0,0,1
10^1233,1234,4096,70000000,1093,973,120,0.890210430009,81,0,0,0,0
