offset,sigma,solved,method,witness,seconds
81,587,0,,,143.535984
159,587,0,,,139.116726
217,587,0,,,141.196574
247,587,0,,,139.815722
307,587,0,,,141.648562
471,587,0,,,140.652968
487,587,0,,,138.459516
1053,587,0,,,144.090086
81,593,0,,,133.676784
159,593,0,,,133.398494
217,593,0,,,136.514680
247,593,0,,,135.922699
307,593,0,,,132.813016
471,593,0,,,134.005455
487,593,0,,,131.373272
1053,593,0,,,133.296726
81,599,0,,,133.460478
159,599,0,,,133.518082
217,599,0,,,134.311405
247,599,0,,,134.213674
307,599,0,,,134.119090
471,599,0,,,132.641779
487,599,0,,,133.923448
1053,599,0,,,135.137765
