offset,witness,method
81,2,composite_power_base2
97,13485985878505098653087,gmp_ecm_b50k_sigma_137
159,2,composite_power_base2
217,2,composite_power_base2
247,2,composite_power_base2
259,1596877157,deterministic_pminus1
307,2,composite_power_base2
423,263935673443192995592639,gmp_ecm_b250k_sigma_251
471,2,composite_power_base2
487,2,composite_power_base2
511,42743185439,deterministic_pminus1
523,223502401,full_prime_scan
531,459525377,full_prime_scan
601,800678377553,gmp_ecm_pm1_1m_100m
669,356386241,full_prime_scan
679,930815410363,deterministic_pminus1
769,4113839410693,gmp_ecm_pm1_1m_100m
783,155034584533,gmp_ecm_b11k_sigma_11
819,71209726858447,gmp_ecm_pm1_1m_100m
877,90961441396431761,gmp_ecm_b11k_sigma_29
907,1271987883619,gmp_ecm_b11k_sigma_17
921,1337865161465878931,gmp_ecm_pm1_1m_100m
931,425597759,full_prime_scan
957,5141226043043,gmp_ecm_b11k_sigma_37
987,24541232753,gmp_ecm_pm1_1m_100m
997,5950437168328181,gmp_ecm_b11k_sigma_23
1021,255164921827,deterministic_pminus1
1047,29218369049,gmp_ecm_pm1_1m_100m
1053,2,composite_power_base2
1083,2146982215818165508117211,gmp_ecm_b250k_sigma_281
1087,212495643561138799,gmp_ecm_b250k_sigma_239
1243,12828853937981,deterministic_pminus1
