gap_divisor_count,count,share,min_gap,max_gap,mean_gap
6,2,2.4597220514081907e-05,2,2,2
8,558,0.006862624523428853,2,2,2
12,514,0.0063214856721190505,2,2,2
13,1,1.2298610257040954e-05,4,4,4
14,2,2.4597220514081907e-05,2,4,3
16,1311,0.01612347804698069,2,4,2.0030511060259344
18,156,0.0019185832000983888,2,4,2.3846153846153846
19,1,1.2298610257040954e-05,4,4,4
20,154,0.001893985979584307,2,4,2.5194805194805197
21,2,2.4597220514081907e-05,4,4,4
22,90,0.001106874923133686,4,4,4
24,1446,0.01778379043168122,2,4,2.2254495159059475
25,3,3.6895830771122866e-05,4,6,4.666666666666667
26,136,0.0016726109949575698,4,4,4
27,2,2.4597220514081907e-05,4,6,5
28,374,0.004599680236133317,2,6,3.7967914438502675
29,2,2.4597220514081907e-05,6,6,6
30,282,0.003468208092485549,2,6,3.6382978723404253
31,1,1.2298610257040954e-05,4,4,4
32,1672,0.020563276349772477,2,6,2.59688995215311
33,3,3.6895830771122866e-05,4,4,4
34,216,0.0026564998155208463,4,6,4.101851851851852
35,1,1.2298610257040954e-05,4,4,4
36,1010,0.012421596359611363,2,6,3.3405940594059405
37,2,2.4597220514081907e-05,4,4,4
38,267,0.0032837289386299347,2,6,4.2322097378277155
39,1,1.2298610257040954e-05,6,6,6
40,896,0.011019554790308694,2,6,3.6205357142857144
41,2,2.4597220514081907e-05,4,4,4
42,218,0.002681097036034928,2,6,4.339449541284404
43,3,3.6895830771122866e-05,4,6,4.666666666666667
44,889,0.010933464518509408,2,6,4.31496062992126
45,2,2.4597220514081907e-05,4,4,4
46,299,0.0036772844668552453,4,8,4.7558528428093645
47,4,4.9194441028163815e-05,4,6,5.5
48,1801,0.022149797072930758,2,6,3.2326485285952247
50,371,0.004562784405362194,2,6,5.196765498652291
51,4,4.9194441028163815e-05,4,6,5.5
52,914,0.011240929774935432,2,6,4.820568927789934
53,1,1.2298610257040954e-05,6,6,6
54,372,0.004575083015619235,2,6,5.091397849462366
55,2,2.4597220514081907e-05,4,6,5
56,1084,0.013331693518632394,2,10,4.928044280442805
57,2,2.4597220514081907e-05,4,6,5
58,359,0.0044152010822777026,4,10,5.66016713091922
59,3,3.6895830771122866e-05,4,10,6.666666666666667
60,1087,0.013368589349403517,2,8,4.925482980680773
61,1,1.2298610257040954e-05,8,8,8
62,407,0.005005534374615668,4,10,5.72972972972973
