surface_display_label,wheel_field,gap_count,simple_odd_semiprime_count,simple_odd_semiprime_share,position_2_count,position_4_count,position_6_count,next_simple_transition_count,next_simple_plus2_count,next_simple_plus2_share,independent_uniform_plus2_share,independent_marginal_plus2_share,immediate_simple_transition_count,immediate_simple_plus2_count,immediate_simple_plus2_share,immediate_independent_marginal_plus2_share,intervening_complex_transition_count,intervening_complex_plus2_count,intervening_complex_plus2_share,intervening_independent_marginal_plus2_share,intervening_complex_gap_count,break_count,breaks_with_intervening_complex,breaks_with_intervening_complex_share,run_count,max_run_length,longest_perfect_plus2_run,longest_local_plus2_run,run_transition_count,run_plus2_transition_count,run_plus2_transition_share
<=10^6,open_offset,78497,45268,0.5766844592786986,17435,16028,11805,45267,15437,0.3410210528641173,0.3333333333333333,0.32914137950161626,25940,8774,0.3382420971472629,0.3273368246751741,19327,6663,0.34475086666321725,0.3310998078030224,33223,29830,12664,0.42453905464297687,19328,20,7,7,25940,8774,0.3382420971472629
10^7,open_offset,256,157,0.61328125,60,52,45,156,59,0.3782051282051282,0.3333333333333333,0.33103221564760027,92,34,0.3695652173913043,0.3323487712665406,64,25,0.390625,0.3466796875,98,97,39,0.4020618556701031,65,8,3,3,92,34,0.3695652173913043
10^8,open_offset,256,152,0.59375,59,52,41,151,45,0.2980132450331126,0.3333333333333333,0.33007324240164904,86,25,0.29069767441860467,0.32760951865873444,65,20,0.3076923076923077,0.3334911242603551,103,106,45,0.42452830188679247,66,7,3,3,86,25,0.29069767441860467
10^9,open_offset,256,167,0.65234375,65,56,46,166,62,0.37349397590361444,0.3333333333333333,0.329728552765278,105,42,0.4,0.3325170068027211,61,20,0.32786885245901637,0.3265251276538565,88,104,41,0.3942307692307692,62,10,4,4,105,42,0.4
10^10,open_offset,256,172,0.671875,73,61,38,171,57,0.3333333333333333,0.3333333333333333,0.3230395677302418,105,36,0.34285714285714286,0.3349659863945578,66,21,0.3181818181818182,0.3073921028466483,84,114,45,0.39473684210526316,67,11,3,3,105,36,0.34285714285714286
10^11,open_offset,256,175,0.68359375,72,64,39,174,59,0.3390804597701149,0.3333333333333333,0.32372175980975026,124,46,0.3709677419354839,0.32576742976066597,50,13,0.26,0.30200000000000005,79,115,37,0.3217391304347826,51,19,3,3,124,46,0.3709677419354839
10^12,open_offset,256,166,0.6484375,69,53,44,165,55,0.3333333333333333,0.3333333333333333,0.3273829201101929,108,35,0.32407407407407407,0.32578875171467764,57,20,0.3508771929824561,0.33179439827639273,87,110,37,0.33636363636363636,58,11,1,6,108,35,0.32407407407407407
10^13,open_offset,256,167,0.65234375,66,62,39,166,57,0.3433734939759036,0.3333333333333333,0.32599070982726086,107,36,0.3364485981308411,0.31959123067516815,59,21,0.3559322033898305,0.3372594082160299,89,109,38,0.3486238532110092,60,11,3,3,107,36,0.3364485981308411
10^14,open_offset,256,171,0.66796875,65,70,36,170,58,0.3411764705882353,0.3333333333333333,0.3221453287197231,115,34,0.2956521739130435,0.31773156899810967,55,24,0.43636363636363634,0.3355371900826446,84,112,31,0.2767857142857143,56,10,2,4,115,34,0.2956521739130435
10^15,open_offset,256,174,0.6796875,56,77,41,173,68,0.3930635838150289,0.3333333333333333,0.32306458618731,119,44,0.3697478991596639,0.3336628769154721,54,24,0.4444444444444444,0.2781207133058985,81,105,30,0.2857142857142857,55,18,3,5,119,44,0.3697478991596639
