surface_display_label,wheel_field,current_position,next_position,count
<=10^6,open_offset,2,2,6462
<=10^6,open_offset,2,4,6192
<=10^6,open_offset,2,6,4781
<=10^6,open_offset,4,2,6210
<=10^6,open_offset,4,4,5336
<=10^6,open_offset,4,6,4482
<=10^6,open_offset,6,2,4763
<=10^6,open_offset,6,4,4499
<=10^6,open_offset,6,6,2542
10^7,open_offset,2,2,20
10^7,open_offset,2,4,21
10^7,open_offset,2,6,19
10^7,open_offset,4,2,21
10^7,open_offset,4,4,11
10^7,open_offset,4,6,20
10^7,open_offset,6,2,18
10^7,open_offset,6,4,20
10^7,open_offset,6,6,6
10^8,open_offset,2,2,21
10^8,open_offset,2,4,19
10^8,open_offset,2,6,18
10^8,open_offset,4,2,22
10^8,open_offset,4,4,19
10^8,open_offset,4,6,11
10^8,open_offset,6,2,15
10^8,open_offset,6,4,14
10^8,open_offset,6,6,12
10^9,open_offset,2,2,20
10^9,open_offset,2,4,23
10^9,open_offset,2,6,21
10^9,open_offset,4,2,22
10^9,open_offset,4,4,18
10^9,open_offset,4,6,16
10^9,open_offset,6,2,23
10^9,open_offset,6,4,14
10^9,open_offset,6,6,9
10^10,open_offset,2,2,31
10^10,open_offset,2,4,23
10^10,open_offset,2,6,18
10^10,open_offset,4,2,23
10^10,open_offset,4,4,22
10^10,open_offset,4,6,16
10^10,open_offset,6,2,18
10^10,open_offset,6,4,16
10^10,open_offset,6,6,4
10^11,open_offset,2,2,31
10^11,open_offset,2,4,25
10^11,open_offset,2,6,16
10^11,open_offset,4,2,24
10^11,open_offset,4,4,22
10^11,open_offset,4,6,17
10^11,open_offset,6,2,17
10^11,open_offset,6,4,16
10^11,open_offset,6,6,6
10^12,open_offset,2,2,26
10^12,open_offset,2,4,23
10^12,open_offset,2,6,20
10^12,open_offset,4,2,24
10^12,open_offset,4,4,15
10^12,open_offset,4,6,14
10^12,open_offset,6,2,18
10^12,open_offset,6,4,15
10^12,open_offset,6,6,10
10^13,open_offset,2,2,22
10^13,open_offset,2,4,25
10^13,open_offset,2,6,18
10^13,open_offset,4,2,25
10^13,open_offset,4,4,23
10^13,open_offset,4,6,14
10^13,open_offset,6,2,18
10^13,open_offset,6,4,14
10^13,open_offset,6,6,7
10^14,open_offset,2,2,23
10^14,open_offset,2,4,28
10^14,open_offset,2,6,14
10^14,open_offset,4,2,27
10^14,open_offset,4,4,27
10^14,open_offset,4,6,16
10^14,open_offset,6,2,14
10^14,open_offset,6,4,15
10^14,open_offset,6,6,6
10^15,open_offset,2,2,15
10^15,open_offset,2,4,32
10^15,open_offset,2,6,9
10^15,open_offset,4,2,26
10^15,open_offset,4,4,29
10^15,open_offset,4,6,22
10^15,open_offset,6,2,14
10^15,open_offset,6,4,16
10^15,open_offset,6,6,10
10^16,open_offset,2,2,30
10^16,open_offset,2,4,25
10^16,open_offset,2,6,13
10^16,open_offset,4,2,23
10^16,open_offset,4,4,25
10^16,open_offset,4,6,21
