match_mode,heldout_power,train_rows,heldout_rows,eligible_rows,shrunk_rows,violations,average_base_menu_size,average_side_menu_size,average_shrinkage,violation_rate
base,12,9853,1617,1458,1328,250,11.305212620027435,9.37517146776406,1.9300411522633745,0.17146776406035666
base,13,9860,1610,1428,1321,235,11.406162464985995,9.422268907563025,1.9838935574229692,0.1645658263305322
base,14,9833,1637,1465,1327,256,11.331058020477816,9.31740614334471,2.013651877133106,0.17474402730375427
base,15,9836,1634,1420,1301,241,11.21056338028169,9.246478873239436,1.9640845070422535,0.16971830985915493
base,16,9828,1642,1415,1262,225,11.267844522968199,9.236749116607774,2.031095406360424,0.15901060070671377
base,17,9803,1667,1428,1237,258,11.100840336134453,9.053921568627452,2.0469187675070026,0.18067226890756302
base,18,9807,1663,1416,1222,233,11.009180790960452,8.935734463276836,2.073446327683616,0.16454802259887005
mod30,12,9853,1617,851,527,127,3.736780258519389,2.947121034077556,0.7896592244418331,0.1492361927144536
mod30,13,9860,1610,820,517,129,3.8292682926829267,2.970731707317073,0.8585365853658536,0.1573170731707317
mod30,14,9833,1637,847,511,118,3.689492325855962,2.8807556080283354,0.8087367178276269,0.13931523022432113
mod30,15,9836,1634,799,452,96,3.76720901126408,3.0500625782227786,0.7171464330413017,0.12015018773466833
mod30,16,9828,1642,805,481,122,3.761490683229814,2.932919254658385,0.8285714285714286,0.1515527950310559
mod30,17,9803,1667,776,468,120,3.8260309278350517,2.954896907216495,0.8711340206185567,0.15463917525773196
mod30,18,9807,1663,767,465,101,3.7679269882659714,2.9048239895697523,0.863102998696219,0.1316818774445893
exact_tail,12,9853,1617,410,303,109,4.375609756097561,3.2463414634146344,1.1292682926829267,0.2658536585365854
exact_tail,13,9860,1610,455,321,132,4.158241758241759,3.021978021978022,1.1362637362637362,0.29010989010989013
exact_tail,14,9833,1637,402,289,112,4.203980099502488,3.082089552238806,1.1218905472636815,0.27860696517412936
exact_tail,15,9836,1634,376,279,98,4.180851063829787,2.9574468085106385,1.2234042553191489,0.26063829787234044
exact_tail,16,9828,1642,363,272,101,4.393939393939394,3.1487603305785123,1.2451790633608815,0.27823691460055094
exact_tail,17,9803,1667,356,279,109,4.441011235955056,3.095505617977528,1.345505617977528,0.3061797752808989
exact_tail,18,9807,1663,328,250,85,4.277439024390244,3.0060975609756095,1.271341463414634,0.25914634146341464
mod30_exact_tail,12,9853,1617,206,109,47,2.7281553398058254,2.0825242718446604,0.6456310679611651,0.22815533980582525
mod30_exact_tail,13,9860,1610,235,122,57,2.7319148936170214,2.0638297872340425,0.6680851063829787,0.2425531914893617
mod30_exact_tail,14,9833,1637,191,118,33,2.842931937172775,2.0471204188481678,0.7958115183246073,0.17277486910994763
mod30_exact_tail,15,9836,1634,186,97,38,2.870967741935484,2.204301075268817,0.6666666666666666,0.20430107526881722
mod30_exact_tail,16,9828,1642,191,114,41,2.842931937172775,2.089005235602094,0.7539267015706806,0.21465968586387435
mod30_exact_tail,17,9803,1667,173,116,43,2.884393063583815,2.005780346820809,0.8786127167630058,0.24855491329479767
mod30_exact_tail,18,9807,1663,149,98,27,2.9328859060402683,2.0805369127516777,0.8523489932885906,0.18120805369127516
