match_mode,measure,measure_role,heldout_power,train_direction,eligible_cells,decisive_pairs,raw_signed_advantage,oriented_signed_advantage,tie_pairs,advantage_share
mod30,tail_length,control,12,-1,727,11701,237,-237,2358,-0.0202546790873
mod30,tail_length,control,13,-1,714,11606,-93,93,2309,0.00801309667413
mod30,tail_length,control,14,-1,745,11064,-168,168,1954,0.0151843817787
mod30,tail_length,control,15,-1,724,10663,276,-276,1741,-0.0258838975898
mod30,tail_length,control,16,1,736,10547,-192,-192,1765,-0.0182042286906
mod30,tail_length,control,17,-1,744,9500,18,-18,1360,-0.00189473684211
mod30,tail_length,control,18,-1,743,8978,-60,60,1350,0.00668300289597
mod30,d4_count,candidate,12,-1,727,11701,18,-18,1647,-0.00153833005726
mod30,d4_count,candidate,13,-1,714,11606,186,-186,1598,-0.0160261933483
mod30,d4_count,candidate,14,1,745,11064,-209,-209,1445,-0.0188900939986
mod30,d4_count,candidate,15,-1,724,10663,210,-210,1309,-0.0196942699053
mod30,d4_count,candidate,16,1,736,10547,-103,-103,1406,-0.00976581018299
mod30,d4_count,candidate,17,-1,744,9500,318,-318,1112,-0.0334736842105
mod30,d4_count,candidate,18,1,743,8978,-163,-163,1183,-0.0181554912007
mod30,d4_span,candidate,12,-1,727,11701,200,-200,1111,-0.0170925561918
mod30,d4_span,candidate,13,-1,714,11606,72,-72,1004,-0.00620368774772
mod30,d4_span,candidate,14,1,745,11064,-126,-126,820,-0.0113882863341
mod30,d4_span,candidate,15,-1,724,10663,256,-256,781,-0.0240082528369
mod30,d4_span,candidate,16,1,736,10547,-232,-232,811,-0.0219967763345
mod30,d4_span,candidate,17,-1,744,9500,249,-249,607,-0.0262105263158
mod30,d4_span,candidate,18,1,743,8978,-177,-177,667,-0.0197148585431
mod30,d4_last_to_endpoint,candidate,12,-1,727,11701,-31,31,2760,0.00264934620973
mod30,d4_last_to_endpoint,candidate,13,1,714,11606,-495,-495,2411,-0.0426503532656
mod30,d4_last_to_endpoint,candidate,14,-1,745,11064,-36,36,2184,0.00325379609544
mod30,d4_last_to_endpoint,candidate,15,-1,724,10663,184,-184,1983,-0.0172559317265
mod30,d4_last_to_endpoint,candidate,16,-1,736,10547,101,-101,2020,-0.0095761828008
mod30,d4_last_to_endpoint,candidate,17,1,744,9500,-788,-788,1690,-0.0829473684211
mod30,d4_last_to_endpoint,candidate,18,-1,743,8978,497,-497,1493,-0.0553575406549
mod30,d4_centroid_offset,candidate,12,-1,727,11701,134,-134,861,-0.0114520126485
mod30,d4_centroid_offset,candidate,13,1,714,11606,94,94,756,0.00809925900396
mod30,d4_centroid_offset,candidate,14,1,745,11064,-69,-69,631,-0.00623644251627
mod30,d4_centroid_offset,candidate,15,-1,724,10663,298,-298,591,-0.027947106818
mod30,d4_centroid_offset,candidate,16,1,736,10547,-252,-252,645,-0.0238930501564
mod30,d4_centroid_offset,candidate,17,-1,744,9500,252,-252,480,-0.0265263157895
mod30,d4_centroid_offset,candidate,18,1,743,8978,-187,-187,549,-0.0208286923591
mod30,divisor_sum,candidate,12,-1,727,11701,296,-296,23,-0.0252969831638
mod30,divisor_sum,candidate,13,-1,714,11606,-134,134,14,0.0115457521971
mod30,divisor_sum,candidate,14,-1,745,11064,-264,264,14,0.0238611713666
mod30,divisor_sum,candidate,15,-1,724,10663,281,-281,16,-0.026352808778
mod30,divisor_sum,candidate,16,-1,736,10547,-399,399,4,0.0378306627477
mod30,divisor_sum,candidate,17,-1,744,9500,22,-22,14,-0.00231578947368
mod30,divisor_sum,candidate,18,-1,743,8978,154,-154,12,-0.0171530407663
mod30,divisor_mean,candidate,12,-1,727,11701,103,-103,18,-0.00880266643877
mod30,divisor_mean,candidate,13,-1,714,11606,-180,180,10,0.0155092193693
mod30,divisor_mean,candidate,14,-1,745,11064,-138,138,14,0.0124728850325
mod30,divisor_mean,candidate,15,-1,724,10663,133,-133,14,-0.0124730376067
mod30,divisor_mean,candidate,16,-1,736,10547,-654,654,5,0.0620081539774
mod30,divisor_mean,candidate,17,-1,744,9500,252,-252,12,-0.0265263157895
mod30,divisor_mean,candidate,18,-1,743,8978,454,-454,8,-0.0505680552462
mod30,low_divisor_load,candidate,12,-1,727,11701,146,-146,3,-0.01247756602
mod30,low_divisor_load,candidate,13,-1,714,11606,-64,64,0,0.00551438910908
mod30,low_divisor_load,candidate,14,1,745,11064,-148,-148,2,-0.0133767172813
mod30,low_divisor_load,candidate,15,-1,724,10663,305,-305,2,-0.0286035824815
mod30,low_divisor_load,candidate,16,1,736,10547,-113,-113,4,-0.010713947094
mod30,low_divisor_load,candidate,17,-1,744,9500,160,-160,0,-0.0168421052632
mod30,low_divisor_load,candidate,18,-1,743,8978,-74,74,2,0.00824237023836
mod30,tail_mod30,candidate,12,-1,727,11701,-244,244,4753,0.020852918554
mod30,tail_mod30,candidate,13,-1,714,11606,-207,207,4833,0.0178356022747
mod30,tail_mod30,candidate,14,-1,745,11064,49,-49,4485,-0.0044287780188
mod30,tail_mod30,candidate,15,-1,724,10663,37,-37,4238,-0.00346994279284
mod30,tail_mod30,candidate,16,-1,736,10547,166,-166,4255,-0.0157390727221
mod30,tail_mod30,candidate,17,-1,744,9500,-212,212,3780,0.0223157894737
mod30,tail_mod30,candidate,18,-1,743,8978,-77,77,3605,0.00857652038316
mod30,tail_mod210,candidate,12,-1,727,11701,256,-256,2363,-0.0218784719255
mod30,tail_mod210,candidate,13,-1,714,11606,-105,105,2309,0.00904704463209
mod30,tail_mod210,candidate,14,1,745,11064,-191,-191,1957,-0.0172631959508
mod30,tail_mod210,candidate,15,-1,724,10663,323,-323,1742,-0.0302916627591
mod30,tail_mod210,candidate,16,1,736,10547,-179,-179,1772,-0.0169716507064
mod30,tail_mod210,candidate,17,-1,744,9500,-2,2,1382,0.000210526315789
mod30,tail_mod210,candidate,18,-1,743,8978,-45,45,1357,0.00501225217198
mod30,endpoint_mod210,candidate,12,1,727,11701,-319,-319,2006,-0.0272626271259
mod30,endpoint_mod210,candidate,13,1,714,11606,-302,-302,2008,-0.0260210236085
mod30,endpoint_mod210,candidate,14,-1,745,11064,217,-217,1865,-0.0196131597975
mod30,endpoint_mod210,candidate,15,-1,724,10663,486,-486,1843,-0.0455781674951
