a,square,endpoint_offsets,component_word,s4,slack_4a,slack_2a,utilization_4a,utilization_2a,half_wall_status,fixed_256_status,a_mod_30
3,9,2|4|8|10,2|2|4|2,10,2,-4,0.833333333333,1.666666666667,not_applicable_small_root,pass,3
5,25,4|6|12|16,4|2|6|4,16,4,-6,0.8,1.6,not_applicable_small_root,pass,5
7,49,4|10|12|18,4|6|2|6,18,10,-4,0.642857142857,1.285714285714,not_applicable_small_root,pass,7
11,121,6|10|16|18,6|4|6|2,18,26,4,0.409090909091,0.818181818182,pass,pass,11
13,169,4|10|12|22,4|6|2|10,22,30,4,0.423076923077,0.846153846154,pass,pass,13
17,289,4|18|22|24,4|14|4|2,24,44,10,0.352941176471,0.705882352941,pass,pass,17
19,361,6|12|18|22,6|6|6|4,22,54,16,0.289473684211,0.578947368421,pass,pass,19
23,529,12|18|28|34,12|6|10|6,34,58,12,0.369565217391,0.739130434783,pass,pass,23
29,841,12|16|18|22,12|4|2|4,22,94,36,0.189655172414,0.379310344828,pass,pass,29
31,961,6|10|16|22,6|4|6|6,22,102,40,0.177419354839,0.354838709677,pass,pass,1
37,1369,4|12|30|40,4|8|18|10,40,108,34,0.27027027027,0.540540540541,pass,pass,7
41,1681,12|16|18|28,12|4|2|10,28,136,54,0.170731707317,0.341463414634,pass,pass,11
43,1849,12|18|22|24,12|6|4|2,24,148,62,0.139534883721,0.279069767442,pass,pass,13
47,2209,4|12|28|30,4|8|16|2,30,158,64,0.159574468085,0.31914893617,pass,pass,17
53,2809,10|24|28|34,10|14|4|6,34,178,72,0.160377358491,0.320754716981,pass,pass,23
59,3481,10|18|30|36,10|8|12|6,36,200,82,0.152542372881,0.305084745763,pass,pass,29
61,3721,6|12|18|40,6|6|6|22,40,204,82,0.16393442623,0.327868852459,pass,pass,1
67,4489,4|18|24|28,4|14|6|4,28,240,106,0.10447761194,0.208955223881,pass,pass,7
71,5041,10|18|36|40,10|8|18|4,40,244,102,0.140845070423,0.281690140845,pass,pass,11
73,5329,4|18|22|52,4|14|4|30,52,240,94,0.178082191781,0.356164383562,pass,pass,13
79,6241,6|16|22|28,6|10|6|6,28,288,130,0.088607594937,0.177215189873,pass,pass,19
83,6889,10|18|22|28,10|8|4|6,28,304,138,0.084337349398,0.168674698795,pass,pass,23
89,7921,6|12|16|28,6|6|4|12,28,328,150,0.078651685393,0.157303370787,pass,pass,29
97,9409,4|10|12|22,4|6|2|10,22,366,172,0.056701030928,0.113402061856,pass,pass,7
101,10201,10|22|42|46,10|12|20|4,46,358,156,0.113861386139,0.227722772277,pass,pass,11
103,10609,4|18|22|30,4|14|4|8,30,382,176,0.072815533981,0.145631067961,pass,pass,13
107,11449,18|22|34|40,18|4|12|6,40,388,174,0.093457943925,0.18691588785,pass,pass,17
109,11881,6|16|22|28,6|10|6|6,28,408,190,0.064220183486,0.128440366972,pass,pass,19
113,12769,12|22|30|40,12|10|8|10,40,412,186,0.088495575221,0.176991150442,pass,pass,23
127,16129,10|12|54|58,10|2|42|4,58,450,196,0.114173228346,0.228346456693,pass,pass,7
