role,p,q,carrier,carrier_tau,carrier_signature,carrier_factors,competitor,competitor_tau,competitor_signature,competitor_factors,sigma_carrier_num,sigma_carrier_den,sigma_competitor_num,sigma_competitor_den,phi_carrier_num,phi_carrier_den,phi_competitor_num,phi_competitor_den,same_tau4_witness_exists
phi,43,47,46,4,semiprime,2*23,45,6,square_times_prime,3^2*5,72,46,78,45,22,46,24,45,False
sigma,79,83,82,4,semiprime,2*41,81,5,prime_fourth_power,3^4,126,82,121,81,40,82,54,81,False
phi,79,83,82,4,semiprime,2*41,81,5,prime_fourth_power,3^4,126,82,121,81,40,82,54,81,False
phi,223,227,226,4,semiprime,2*113,225,9,exponents_2_2,3^2*5^2,342,226,403,225,112,226,120,225,False
sigma,271,277,274,4,semiprime,2*137,275,6,square_times_prime,5^2*11,414,274,372,275,136,274,200,275,False
phi,397,401,398,4,semiprime,2*199,399,8,three_distinct_primes,3*7*19,600,398,640,399,198,398,216,399,False
phi,457,461,458,4,semiprime,2*229,459,8,exponents_3_1,3^3*17,690,458,720,459,228,458,288,459,False
phi,673,677,674,4,semiprime,2*337,675,12,exponents_3_2,3^3*5^2,1014,674,1240,675,336,674,360,675,False
sigma,1013,1019,1018,4,semiprime,2*509,1015,8,three_distinct_primes,5*7*29,1530,1018,1440,1015,508,1018,672,1015,False
phi,1213,1217,1214,4,semiprime,2*607,1215,12,exponents_5_1,3^5*5,1824,1214,2184,1215,606,1214,648,1215,False
phi,1303,1307,1306,4,semiprime,2*653,1305,12,exponents_2_1_1,3^2*5*29,1962,1306,2340,1305,652,1306,672,1305,False
phi,1873,1877,1874,4,semiprime,2*937,1875,10,exponents_4_1,3*5^4,2814,1874,3124,1875,936,1874,1000,1875,False
sigma,2371,2377,2374,4,semiprime,2*1187,2375,8,exponents_3_1,5^3*19,3564,2374,3120,2375,1186,2374,1800,2375,False
sigma,4021,4027,4022,4,semiprime,2*2011,4025,12,exponents_2_1_1,5^2*7*23,6036,4022,5952,4025,2010,4022,2640,4025,False
phi,5479,5483,5482,4,semiprime,2*2741,5481,16,exponents_3_1_1,3^3*7*29,8226,5482,9600,5481,2740,5482,3024,5481,False
phi,10099,10103,10102,4,semiprime,2*5051,10101,16,exponents_1_1_1_1,3*7*13*37,15156,10102,17024,10101,5050,10102,5184,10101,False
phi,15073,15077,15074,4,semiprime,2*7537,15075,18,exponents_2_2_1,3^2*5^2*67,22614,15074,27404,15075,7536,15074,7920,15075,False
sigma,19373,19379,19378,4,semiprime,2*9689,19375,10,exponents_4_1,5^4*31,29070,19378,24992,19375,9688,19378,15000,19375,False
sigma,24023,24029,24027,4,semiprime,3*8009,24025,9,exponents_2_2,5^2*31^2,32040,24027,30783,24025,16016,24027,18600,24025,False
phi,25639,25643,25642,4,semiprime,2*12821,25641,24,exponents_2_1_1_1,3^2*7*11*37,38466,25642,47424,25641,12820,25642,12960,25641,False
