n,p,q,w,left_square,right_square,square_ceiling,chamber_width,endpoint_offset,quarter_slack,right_margin,tail_d4_count,last_tail_d4,q_minus_last_tail_d4
8,61,67,62,64,81,121,17,3,5,14,1,65,2
44,1933,1949,1934,1936,2025,2209,89,13,37,76,6,1945,4
25,619,631,622,625,676,841,51,6,27,45,2,629,2
128,16381,16411,16382,16384,16641,17161,257,27,149,230,5,16409,2
34,1153,1163,1154,1156,1225,1369,69,7,41,62,2,1159,4
143,20443,20477,20446,20449,20736,22201,287,28,175,259,8,20473,4
68,4621,4637,4622,4624,4761,5041,137,13,85,124,4,4633,4
86,7393,7411,7394,7396,7569,7921,173,15,113,158,6,7409,2
51,2593,2609,2594,2601,2704,2809,103,8,71,95,4,2606,3
254,64513,64553,64514,64516,65025,66049,509,37,361,472,11,64551,2
104,10799,10831,10801,10816,11025,11449,209,15,149,194,5,10826,5
182,33119,33149,33121,33124,33489,36481,365,25,265,340,8,33146,3
133,17683,17707,17687,17689,17956,18769,267,18,195,249,7,17705,2
159,25261,25301,25267,25281,25600,26569,319,20,239,299,8,25297,4
370,136897,136943,136898,136900,137641,139129,741,43,569,698,11,136937,6
201,40387,40423,40389,40401,40804,44521,403,22,315,381,7,40421,2
48,2297,2309,2302,2304,2401,2809,97,5,77,92,3,2307,2
214,45779,45817,45781,45796,46225,49729,429,21,345,408,9,45814,3
174,30271,30293,30273,30276,30625,32041,349,17,281,332,6,30289,4
1165,1357201,1357333,1357203,1357225,1359556,1371241,2331,108,1899,2223,32,1357331,2
98,9601,9613,9602,9604,9801,10201,197,9,161,188,3,9611,2
152,23099,23117,23101,23104,23409,24649,305,13,253,292,4,23113,4
165,27211,27239,27215,27225,27556,27889,331,14,275,317,5,27238,1
590,348097,348149,348098,348100,349281,351649,1181,49,985,1132,14,348143,6
302,91199,91229,91201,91204,91809,94249,605,25,505,580,7,91226,3
38,1439,1447,1441,1444,1521,1681,77,3,65,74,0,0,0
261,68113,68141,68114,68121,68644,69169,523,20,443,503,6,68137,4
596,355211,355261,355213,355216,356409,358801,1193,45,1013,1148,12,355259,2
290,84089,84121,84093,84100,84681,85849,581,21,497,560,5,84115,6
305,93001,93047,93007,93025,93636,94249,611,22,523,589,5,93046,1
195,38011,38039,38013,38025,38416,38809,391,14,335,377,5,38035,4
14,193,197,194,196,225,289,29,1,25,28,0,0,0
252,63499,63521,63502,63504,64009,66049,505,17,437,488,4,63517,4
873,762121,762187,762122,762129,763876,769129,1747,58,1515,1689,15,762181,6
288,82939,82963,82941,82944,83521,85849,577,19,501,558,5,82961,2
91,8273,8287,8278,8281,8464,9409,183,6,159,177,1,8285,2
833,693881,693943,693886,693889,695556,703921,1667,54,1451,1613,14,693941,2
187,34963,34981,34966,34969,35344,36481,375,12,327,363,3,34978,3
392,153649,153689,153651,153664,154449,157609,785,25,685,760,7,153687,2
334,111539,111577,111541,111556,112225,113569,669,21,585,648,6,111574,3
