rank,feature,high_exit_count,total_event_count,high_exit_rate
1,o4_odd_semiprime|d<=4|r19,293,3030,0.09669966996699669
2,o2_odd_semiprime|d<=4|r17,284,2930,0.09692832764505119
3,o4_odd_semiprime|d<=4|r7,236,2766,0.08532176428054954
4,o6_odd_semiprime|d<=4|r23,221,3103,0.07122139864647116
5,o2_odd_semiprime|d<=4|r29,220,2963,0.07424907188660142
6,o6_odd_semiprime|d<=4|r1,217,2758,0.07868020304568528
7,o2_odd_semiprime|d<=4|r11,209,2694,0.07757980697847068
8,o4_higher_divisor_even|5<=d<=16|r13,145,1078,0.1345083487940631
9,o4_even_semiprime|d<=4|r13,137,1547,0.08855850032320621
10,o4_odd_semiprime|d<=4|r13,136,2037,0.06676485027000491
11,o4_higher_divisor_even|5<=d<=16|r7,103,708,0.14548022598870056
12,o6_even_semiprime|d<=4|r23,99,1058,0.09357277882797732
13,o4_even_semiprime|d<=4|r7,97,860,0.1127906976744186
14,o6_higher_divisor_odd|5<=d<=16|r23,97,477,0.20335429769392033
15,o4_higher_divisor_odd|5<=d<=16|r7,92,582,0.15807560137457044
16,o6_even_semiprime|d<=4|r1,88,1433,0.061409630146545706
17,o4_even_semiprime|d<=4|r19,66,770,0.08571428571428572
18,o6_higher_divisor_even|5<=d<=16|r23,54,253,0.2134387351778656
19,o2_even_semiprime|d<=4|r11,32,426,0.07511737089201878
20,o4_higher_divisor_odd|5<=d<=16|r13,27,219,0.1232876712328767
21,o2_higher_divisor_odd|5<=d<=16|r11,25,218,0.11467889908256881
22,o2_even_semiprime|d<=4|r29,23,355,0.0647887323943662
23,o2_even_semiprime|d<=4|r17,19,214,0.08878504672897196
24,o2_higher_divisor_even|5<=d<=16|r11,17,716,0.023743016759776536
25,o4_higher_divisor_odd|5<=d<=16|r19,15,534,0.028089887640449437
26,o4_higher_divisor_even|5<=d<=16|r19,12,516,0.023255813953488372
27,o6_higher_divisor_odd|5<=d<=16|r1,10,309,0.032362459546925564
28,o6_higher_divisor_even|5<=d<=16|r1,7,388,0.01804123711340206
29,o2_higher_divisor_odd|5<=d<=16|r29,4,111,0.036036036036036036
30,o4_prime_square|d<=4|r13,2,32,0.0625
31,o2_prime_square|d<=4|r17,2,29,0.06896551724137931
32,o4_prime_square|d<=4|r19,2,13,0.15384615384615385
33,o4_higher_divisor_even|17<=d<=64|r7,2,2,1.0
34,o2_higher_divisor_odd|5<=d<=16|r17,1,216,0.004629629629629629
35,o2_higher_divisor_even|5<=d<=16|r29,1,192,0.005208333333333333
36,o2_prime_square|d<=4|r29,1,17,0.058823529411764705
37,o4_higher_divisor_even|17<=d<=64|r13,1,1,1.0
38,o2_higher_divisor_even|17<=d<=64|r29,0,984,0.0
39,o2_higher_divisor_even|17<=d<=64|r17,0,827,0.0
40,o2_higher_divisor_even|17<=d<=64|r11,0,799,0.0
41,o2_higher_divisor_even|5<=d<=16|r17,0,645,0.0
42,o2_higher_divisor_even|d>64|r29,0,289,0.0
43,o2_higher_divisor_even|d>64|r11,0,50,0.0
44,o2_higher_divisor_even|d>64|r17,0,48,0.0
45,o6_prime_square|d<=4|r23,0,14,0.0
46,o2_prime_square|d<=4|r11,0,9,0.0
47,o4_prime_square|d<=4|r7,0,8,0.0
48,o4_higher_divisor_even|17<=d<=64|r19,0,5,0.0
49,o4_higher_divisor_odd|17<=d<=64|r19,0,3,0.0
50,o2_prime_cube|d<=4|r11,0,2,0.0
51,o4_higher_divisor_odd|17<=d<=64|r13,0,2,0.0
52,o4_prime_cube|d<=4|r13,0,2,0.0
53,o2_even_semiprime|d<=4|r5,0,1,0.0
54,o2_prime_cube|d<=4|r17,0,1,0.0
55,o2_prime_cube|d<=4|r29,0,1,0.0
56,o6_prime_square|d<=4|r1,0,1,0.0
