rank,feature,high_exit_count,total_event_count,high_exit_rate
1,o2_higher_divisor_even|17<=d<=64|r17 -> o4_odd_semiprime|d<=4|r19,64,551,0.1161524500907441
2,o4_odd_semiprime|d<=4|r19 -> o2_odd_semiprime|d<=4|r29,44,487,0.09034907597535935
3,o4_higher_divisor_even|5<=d<=16|r13 -> o2_odd_semiprime|d<=4|r17,43,541,0.07948243992606285
4,o2_odd_semiprime|d<=4|r17 -> o2_odd_semiprime|d<=4|r29,43,399,0.10776942355889724
5,o2_odd_semiprime|d<=4|r17 -> o6_odd_semiprime|d<=4|r23,41,480,0.08541666666666667
6,o2_odd_semiprime|d<=4|r29 -> o4_odd_semiprime|d<=4|r7,40,500,0.08
7,o4_odd_semiprime|d<=4|r7 -> o2_odd_semiprime|d<=4|r17,39,355,0.10985915492957747
8,o2_higher_divisor_even|17<=d<=64|r29 -> o6_odd_semiprime|d<=4|r1,37,552,0.06702898550724638
9,o2_odd_semiprime|d<=4|r11 -> o4_odd_semiprime|d<=4|r19,37,408,0.09068627450980392
10,o4_higher_divisor_even|5<=d<=16|r19 -> o6_odd_semiprime|d<=4|r23,33,322,0.10248447204968944
11,o6_odd_semiprime|d<=4|r23 -> o4_odd_semiprime|d<=4|r7,32,389,0.08226221079691516
12,o6_odd_semiprime|d<=4|r23 -> o6_odd_semiprime|d<=4|r1,30,438,0.0684931506849315
13,o4_odd_semiprime|d<=4|r19 -> o6_odd_semiprime|d<=4|r1,30,369,0.08130081300813008
14,o4_odd_semiprime|d<=4|r13 -> o4_odd_semiprime|d<=4|r19,30,297,0.10101010101010101
15,o2_odd_semiprime|d<=4|r11 -> o2_odd_semiprime|d<=4|r17,29,431,0.06728538283062645
16,o6_odd_semiprime|d<=4|r1 -> o2_odd_semiprime|d<=4|r11,29,381,0.07611548556430446
17,o2_higher_divisor_even|17<=d<=64|r11 -> o4_odd_semiprime|d<=4|r13,29,360,0.08055555555555556
18,o2_odd_semiprime|d<=4|r17 -> o6_odd_semiprime|d<=4|r1,29,309,0.09385113268608414
19,o6_odd_semiprime|d<=4|r1 -> o2_odd_semiprime|d<=4|r17,28,228,0.12280701754385964
20,o2_odd_semiprime|d<=4|r29 -> o2_odd_semiprime|d<=4|r11,26,351,0.07407407407407407
21,o2_higher_divisor_even|5<=d<=16|r11 -> o4_higher_divisor_even|5<=d<=16|r13,26,118,0.22033898305084745
22,o4_higher_divisor_even|5<=d<=16|r7 -> o2_odd_semiprime|d<=4|r11,25,312,0.08012820512820513
23,o2_odd_semiprime|d<=4|r29 -> o4_even_semiprime|d<=4|r13,24,199,0.12060301507537688
24,o2_odd_semiprime|d<=4|r29 -> o2_odd_semiprime|d<=4|r17,24,172,0.13953488372093023
25,o6_odd_semiprime|d<=4|r23 -> o2_odd_semiprime|d<=4|r29,23,387,0.059431524547803614
26,o4_even_semiprime|d<=4|r13 -> o2_odd_semiprime|d<=4|r17,23,273,0.08424908424908426
27,o6_odd_semiprime|d<=4|r23 -> o2_odd_semiprime|d<=4|r11,23,200,0.115
28,o6_odd_semiprime|d<=4|r1 -> o4_odd_semiprime|d<=4|r19,23,166,0.13855421686746988
29,o2_odd_semiprime|d<=4|r17 -> o6_higher_divisor_odd|5<=d<=16|r23,23,80,0.2875
30,o2_odd_semiprime|d<=4|r29 -> o4_higher_divisor_even|5<=d<=16|r7,22,130,0.16923076923076924
31,o2_higher_divisor_even|5<=d<=16|r17 -> o4_odd_semiprime|d<=4|r19,20,314,0.06369426751592357
32,o4_odd_semiprime|d<=4|r7 -> o4_odd_semiprime|d<=4|r13,20,278,0.07194244604316546
33,o4_odd_semiprime|d<=4|r7 -> o4_odd_semiprime|d<=4|r19,20,263,0.07604562737642585
34,o4_odd_semiprime|d<=4|r19 -> o4_odd_semiprime|d<=4|r7,20,236,0.0847457627118644
35,o6_odd_semiprime|d<=4|r1 -> o4_even_semiprime|d<=4|r13,20,167,0.11976047904191617
36,o2_odd_semiprime|d<=4|r29 -> o4_higher_divisor_even|5<=d<=16|r13,20,135,0.14814814814814814
37,o2_higher_divisor_even|17<=d<=64|r29 -> o6_even_semiprime|d<=4|r1,19,259,0.07335907335907337
38,o4_odd_semiprime|d<=4|r7 -> o4_higher_divisor_even|5<=d<=16|r13,19,135,0.14074074074074075
39,o2_odd_semiprime|d<=4|r11 -> o6_odd_semiprime|d<=4|r23,18,303,0.0594059405940594
40,o6_even_semiprime|d<=4|r1 -> o4_odd_semiprime|d<=4|r7,18,226,0.07964601769911504
41,o4_even_semiprime|d<=4|r13 -> o4_odd_semiprime|d<=4|r19,18,211,0.08530805687203792
42,o6_odd_semiprime|d<=4|r23 -> o4_even_semiprime|d<=4|r7,18,102,0.17647058823529413
43,o2_higher_divisor_even|17<=d<=64|r11 -> o4_even_semiprime|d<=4|r13,17,238,0.07142857142857142
44,o2_odd_semiprime|d<=4|r29 -> o4_odd_semiprime|d<=4|r13,17,223,0.07623318385650224
45,o2_higher_divisor_even|5<=d<=16|r11 -> o4_even_semiprime|d<=4|r13,17,166,0.10240963855421686
46,o6_even_semiprime|d<=4|r23 -> o4_odd_semiprime|d<=4|r7,17,131,0.1297709923664122
47,o6_odd_semiprime|d<=4|r1 -> o6_odd_semiprime|d<=4|r23,17,129,0.13178294573643412
48,o4_odd_semiprime|d<=4|r13 -> o2_odd_semiprime|d<=4|r29,16,240,0.06666666666666667
49,o2_odd_semiprime|d<=4|r11 -> o2_odd_semiprime|d<=4|r29,16,194,0.08247422680412371
50,o2_odd_semiprime|d<=4|r17 -> o4_odd_semiprime|d<=4|r7,16,191,0.08376963350785341
51,o4_odd_semiprime|d<=4|r19 -> o2_odd_semiprime|d<=4|r11,16,181,0.08839779005524862
52,o2_odd_semiprime|d<=4|r29 -> o4_even_semiprime|d<=4|r7,16,140,0.11428571428571428
53,o6_odd_semiprime|d<=4|r1 -> o4_higher_divisor_even|5<=d<=16|r13,16,115,0.1391304347826087
54,o6_odd_semiprime|d<=4|r23 -> o4_higher_divisor_even|5<=d<=16|r7,16,100,0.16
55,o4_odd_semiprime|d<=4|r13 -> o6_odd_semiprime|d<=4|r23,15,302,0.04966887417218543
56,o6_odd_semiprime|d<=4|r1 -> o4_odd_semiprime|d<=4|r13,15,198,0.07575757575757576
57,o6_even_semiprime|d<=4|r23 -> o6_odd_semiprime|d<=4|r1,15,141,0.10638297872340426
58,o2_odd_semiprime|d<=4|r29 -> o4_higher_divisor_odd|5<=d<=16|r7,15,103,0.14563106796116504
59,o6_odd_semiprime|d<=4|r1 -> o4_odd_semiprime|d<=4|r7,14,264,0.05303030303030303
60,o4_odd_semiprime|d<=4|r7 -> o4_even_semiprime|d<=4|r13,14,228,0.06140350877192982
61,o4_odd_semiprime|d<=4|r7 -> o6_odd_semiprime|d<=4|r23,14,170,0.08235294117647059
62,o2_higher_divisor_even|5<=d<=16|r17 -> o4_even_semiprime|d<=4|r19,14,140,0.1
63,o4_even_semiprime|d<=4|r7 -> o2_odd_semiprime|d<=4|r11,14,125,0.112
64,o4_odd_semiprime|d<=4|r13 -> o6_odd_semiprime|d<=4|r1,14,121,0.11570247933884298
65,o4_higher_divisor_odd|5<=d<=16|r19 -> o6_even_semiprime|d<=4|r23,14,115,0.12173913043478261
66,o4_odd_semiprime|d<=4|r13 -> o6_even_semiprime|d<=4|r23,14,105,0.13333333333333333
67,o2_higher_divisor_even|5<=d<=16|r11 -> o4_odd_semiprime|d<=4|r13,13,276,0.04710144927536232
68,o2_odd_semiprime|d<=4|r17 -> o6_even_semiprime|d<=4|r1,13,193,0.06735751295336788
69,o6_higher_divisor_even|5<=d<=16|r1 -> o4_odd_semiprime|d<=4|r7,13,184,0.07065217391304347
70,o2_odd_semiprime|d<=4|r29 -> o4_odd_semiprime|d<=4|r19,13,138,0.09420289855072464
71,o2_odd_semiprime|d<=4|r17 -> o2_odd_semiprime|d<=4|r11,13,124,0.10483870967741936
72,o4_even_semiprime|d<=4|r7 -> o2_odd_semiprime|d<=4|r17,13,97,0.13402061855670103
73,o4_even_semiprime|d<=4|r7 -> o4_odd_semiprime|d<=4|r19,13,86,0.1511627906976744
74,o6_higher_divisor_odd|5<=d<=16|r1 -> o4_even_semiprime|d<=4|r7,13,68,0.19117647058823528
75,o6_even_semiprime|d<=4|r23 -> o2_odd_semiprime|d<=4|r29,12,204,0.058823529411764705
76,o2_odd_semiprime|d<=4|r17 -> o6_even_semiprime|d<=4|r23,12,163,0.0736196319018405
77,o2_odd_semiprime|d<=4|r11 -> o6_odd_semiprime|d<=4|r1,12,122,0.09836065573770492
78,o2_higher_divisor_even|17<=d<=64|r17 -> o4_even_semiprime|d<=4|r19,12,89,0.1348314606741573
79,o6_odd_semiprime|d<=4|r23 -> o4_higher_divisor_odd|5<=d<=16|r7,12,86,0.13953488372093023
80,o4_odd_semiprime|d<=4|r19 -> o4_higher_divisor_odd|5<=d<=16|r7,12,63,0.19047619047619047
