label,digits,candidate_bound,factor_bound,wheel_open,closed,open,closure_rate,first_open_offset,expected_gap,pre_expected_open,expected_closed,first_open_matches_expected
10^3,4,4096,50000,1093,581,512,0.531564501372,9,9,0,0,1
10^4,5,4096,50000,1093,660,433,0.603842634950,7,7,0,0,1
10^5,6,4096,50000,1093,743,350,0.679780420860,3,3,0,0,1
10^6,7,4096,50000,1093,781,312,0.714547118024,3,3,0,0,1
10^7,8,4096,50000,1093,842,251,0.770356816102,19,19,0,0,1
10^8,9,4096,50000,1093,865,228,0.791399817017,7,7,0,0,1
10^9,10,4096,50000,1093,899,194,0.822506861848,7,7,0,0,1
10^10,11,4096,50000,1093,901,192,0.824336688015,19,19,0,0,1
10^11,12,4096,50000,1093,887,206,0.811527904849,3,3,0,0,1
10^12,13,4096,50000,1093,886,207,0.810612991766,39,39,0,0,1
10^13,14,4096,50000,1093,863,230,0.789569990851,37,37,0,0,1
10^14,15,4096,50000,1093,892,201,0.816102470265,31,31,0,0,1
10^15,16,4096,50000,1093,884,209,0.808783165599,3,37,1,0,0
10^16,17,4096,50000,1093,894,199,0.817932296432,37,61,3,0,0
10^17,18,4096,50000,1093,900,193,0.823421774931,3,3,0,0,1
10^18,19,4096,50000,1093,888,205,0.812442817932,3,3,0,0,1
10^1233,1234,4096,50000,1093,892,201,0.816102470265,37,0,0,0,0
