scale_exp,input,rep,tool,contract,status,elapsed_ms,stdout_bytes,stderr_bytes,stderr_preview
3,10^3,1,pgs_cli,next_prime_after_anchor,0,3.413,24,0,
3,10^3,1,z5d_cli,nth_prime_predictor,0,2.707,63,0,
3,10^3,2,pgs_cli,next_prime_after_anchor,0,2.914,24,0,
3,10^3,2,z5d_cli,nth_prime_predictor,0,2.541,63,0,
3,10^3,3,pgs_cli,next_prime_after_anchor,0,2.625,24,0,
3,10^3,3,z5d_cli,nth_prime_predictor,0,3.978,63,0,
6,10^6,1,pgs_cli,next_prime_after_anchor,0,3.735,30,0,
6,10^6,1,z5d_cli,nth_prime_predictor,0,2.743,67,0,
6,10^6,2,pgs_cli,next_prime_after_anchor,0,3.416,30,0,
6,10^6,2,z5d_cli,nth_prime_predictor,0,2.562,67,0,
6,10^6,3,pgs_cli,next_prime_after_anchor,0,3.437,30,0,
6,10^6,3,z5d_cli,nth_prime_predictor,0,2.569,67,0,
9,10^9,1,pgs_cli,next_prime_after_anchor,0,15.869,36,0,
9,10^9,1,z5d_cli,nth_prime_predictor,0,2.457,70,0,
9,10^9,2,pgs_cli,next_prime_after_anchor,0,15.985,36,0,
9,10^9,2,z5d_cli,nth_prime_predictor,0,2.496,70,0,
9,10^9,3,pgs_cli,next_prime_after_anchor,0,15.995,36,0,
9,10^9,3,z5d_cli,nth_prime_predictor,0,2.513,70,0,
12,10^12,1,pgs_cli,next_prime_after_anchor,0,295.671,42,0,
12,10^12,1,z5d_cli,nth_prime_predictor,0,4.200,73,0,
12,10^12,2,pgs_cli,next_prime_after_anchor,0,298.617,42,0,
12,10^12,2,z5d_cli,nth_prime_predictor,0,6.463,73,0,
12,10^12,3,pgs_cli,next_prime_after_anchor,0,297.729,42,0,
12,10^12,3,z5d_cli,nth_prime_predictor,0,4.862,73,0,
15,10^15,1,pgs_cli,next_prime_after_anchor,0,6872.229,48,0,
15,10^15,1,z5d_cli,nth_prime_predictor,0,3.693,76,0,
15,10^15,2,pgs_cli,next_prime_after_anchor,0,7113.966,48,0,
15,10^15,2,z5d_cli,nth_prime_predictor,0,4.272,76,0,
15,10^15,3,pgs_cli,next_prime_after_anchor,0,7135.996,48,0,
15,10^15,3,z5d_cli,nth_prime_predictor,0,6.432,76,0,
16,10^16,1,pgs_cli,next_prime_after_anchor,0,22348.171,50,0,
16,10^16,1,z5d_cli,nth_prime_predictor,0,6.303,77,0,
16,10^16,2,pgs_cli,next_prime_after_anchor,0,21634.966,50,0,
16,10^16,2,z5d_cli,nth_prime_predictor,0,16.065,77,0,
16,10^16,3,pgs_cli,next_prime_after_anchor,0,21622.555,50,0,
16,10^16,3,z5d_cli,nth_prime_predictor,0,9.645,77,0,
1233,10^1233,1,pgs_cli,next_prime_after_anchor,0,1653.130,2484,0,
1233,10^1233,1,z5d_cli,nth_prime_predictor,0,2294.165,1296,0,
1233,10^1233,2,pgs_cli,next_prime_after_anchor,0,1670.460,2484,0,
1233,10^1233,2,z5d_cli,nth_prime_predictor,0,2316.046,1296,0,
1233,10^1233,3,pgs_cli,next_prime_after_anchor,0,1705.021,2484,0,
1233,10^1233,3,z5d_cli,nth_prime_predictor,0,2314.424,1296,0,
