scale_exp,tool,contract,successful_runs,statuses,min_ms,median_ms,max_ms,stdout_bytes_last,stderr_preview_last
3,pgs_cli,next_prime_after_anchor,3,0,2.625,2.914,3.413,24,
3,z5d_cli,nth_prime_predictor,3,0,2.541,2.707,3.978,63,
6,pgs_cli,next_prime_after_anchor,3,0,3.416,3.437,3.735,30,
6,z5d_cli,nth_prime_predictor,3,0,2.562,2.569,2.743,67,
9,pgs_cli,next_prime_after_anchor,3,0,15.869,15.985,15.995,36,
9,z5d_cli,nth_prime_predictor,3,0,2.457,2.496,2.513,70,
12,pgs_cli,next_prime_after_anchor,3,0,295.671,297.729,298.617,42,
12,z5d_cli,nth_prime_predictor,3,0,4.200,4.862,6.463,73,
15,pgs_cli,next_prime_after_anchor,3,0,6872.229,7113.966,7135.996,48,
15,z5d_cli,nth_prime_predictor,3,0,3.693,4.272,6.432,76,
16,pgs_cli,next_prime_after_anchor,3,0,21622.555,21634.966,22348.171,50,
16,z5d_cli,nth_prime_predictor,3,0,6.303,9.645,16.065,77,
1233,pgs_cli,next_prime_after_anchor,3,0,1653.130,1670.460,1705.021,2484,
1233,z5d_cli,nth_prime_predictor,3,0,2294.165,2314.424,2316.046,1296,
