p,square,previous_prime,offset,o_q,dynamic_cutoff,dynamic_cutoff_utilization,elapsed_seconds
100000007,10000001400000049,10000001399999983,66,4,679,0.09720176730486009,0.0003762245178222656
100000379,10000075800143641,10000075800143531,110,2,679,0.16200294550810015,0.0006999969482421875
100002271,10000454205157441,10000454205157327,114,4,679,0.16789396170839468,0.0024042129516601562
100002421,10000484205861241,10000484205861113,128,6,679,0.18851251840942562,0.002511262893676758
100003823,10000764614615329,10000764614615189,140,2,679,0.20618556701030927,0.0037560462951660156
100004153,10000830617247409,10000830617247251,158,2,679,0.23269513991163476,0.004060029983520508
100006229,10001245838800441,10001245838800241,200,2,679,0.29455081001472755,0.005936861038208008
100012807,10002561564019249,10002561564019043,206,6,679,0.30338733431516934,0.011340141296386719
100012987,10002597568662169,10002597568661891,278,2,679,0.40942562592047127,0.01151418685913086
100082699,10016546639124601,10016546639124317,284,2,679,0.4182621502209131,0.0702662467956543
100171873,10034404140328129,10034404140327839,290,2,679,0.4270986745213549,0.1467740535736084
100197137,10039466262996769,10039466262996433,336,4,679,0.4948453608247423,0.16839194297790527
100463329,10092880473762241,10092880473761861,380,2,679,0.5596465390279823,0.39368104934692383
101006219,10202256276675961,10202256276675571,390,6,680,0.5735294117647058,0.8506503105163574
102017779,10407627232092841,10407627232092379,462,4,681,0.6784140969162996,1.7080230712890625
