p,q,gap,D,surface,scale_exponent,share_le_30,share_le_210,share_le_2310,share_le_7680
99999999998737,99999999999017,280,9736,decade_window,14,0.11442070665571076,0.1691659819227609,0.23890714872637633,0.2737263763352506
999999999999993791,999999999999993989,198,8910,decade_window,18,0.08855218855218855,0.13232323232323231,0.18451178451178452,0.2095398428731762
999999999999994897,999999999999995083,186,8572,decade_window,18,0.08586094260382642,0.12739150723285114,0.1817545496966869,0.21010265982267848
999999999999993359,999999999999993571,212,8184,decade_window,18,0.10361681329423265,0.1537145650048876,0.20784457478005866,0.23545943304007821
9999999999996121,9999999999996319,198,7864,decade_window,16,0.09994913530010173,0.14954221770091555,0.21248728382502544,0.24275178026449645
999999999992453,999999999992659,206,7518,decade_window,15,0.10933758978451716,0.1616121308858739,0.22705506783719073,0.26256983240223464
9999999999993043,9999999999993187,144,7514,decade_window,16,0.07639073729039127,0.1125898323130157,0.15863721054032473,0.1881820601543785
999999999998939,999999999999043,104,7178,decade_window,15,0.05809417665087768,0.08679297854555587,0.14154360546113123,0.1751184173864586
9999997919,9999997921,2,576,decade_window,10,0.03298611111111111,0.09375,0.21354166666666666,0.2934027777777778
999999998399,999999998401,2,672,decade_window,12,0.026785714285714284,0.07142857142857142,0.15476190476190477,0.20535714285714285
99999999997871,99999999997873,2,640,decade_window,14,0.01875,0.04375,0.0984375,0.1375
999999999999989801,999999999999989803,2,768,decade_window,18,0.013020833333333334,0.033854166666666664,0.06901041666666667,0.09244791666666667
957599,957601,2,216,low_full,,0.10185185185185185,0.2916666666666667,0.6203703703703703,0.7731481481481481
415799,415801,2,192,low_full,,0.11979166666666667,0.3333333333333333,0.6927083333333334,0.8333333333333334
514079,514081,2,192,low_full,,0.11458333333333333,0.3229166666666667,0.671875,0.8177083333333334
526679,526681,2,192,low_full,,0.11458333333333333,0.328125,0.6666666666666666,0.8125
