offset,sigma,solved,method,witness,seconds
247,269,0,,,13.203522
159,269,0,,,13.243030
81,269,0,,,13.254323
217,269,0,,,13.261411
471,269,0,,,13.260252
1053,269,0,,,13.263034
307,269,0,,,13.323149
487,269,0,,,13.303120
1083,269,0,,,13.246443
81,271,0,,,13.229994
159,271,0,,,13.255552
217,271,0,,,13.272360
247,271,0,,,13.131491
307,271,0,,,13.164615
471,271,0,,,13.149442
487,271,0,,,13.195645
1053,271,0,,,13.010029
1083,271,0,,,13.004079
81,277,0,,,13.029950
159,277,0,,,13.054957
247,277,0,,,13.441415
217,277,0,,,13.491652
307,277,0,,,13.530322
471,277,0,,,13.478779
487,277,0,,,12.963059
1053,277,0,,,12.956050
1083,277,0,,,12.947105
81,281,0,,,12.982072
159,281,0,,,12.970606
217,281,0,,,12.988582
247,281,0,,,12.939223
307,281,0,,,12.970699
471,281,0,,,12.846068
1053,281,0,,,12.869930
487,281,0,,,12.947287
1083,281,1,gmp_ecm_b250k_sigma_281,2146982215818165508117211,12.862277
81,283,0,,,13.018840
159,283,0,,,13.018707
217,283,0,,,13.023666
247,283,0,,,12.978019
307,283,0,,,12.992375
471,283,0,,,12.967128
487,283,0,,,13.009740
1053,283,0,,,12.973711
1083,283,0,,,12.950272
81,293,0,,,12.949979
159,293,0,,,12.938879
217,293,0,,,12.968197
247,293,0,,,12.981778
307,293,0,,,13.034111
471,293,0,,,13.041688
487,293,0,,,13.024828
1053,293,0,,,12.926245
1083,293,0,,,12.940482
81,307,0,,,12.957200
159,307,0,,,12.978734
217,307,0,,,12.998004
247,307,0,,,12.914938
307,307,0,,,12.940844
471,307,0,,,12.936016
487,307,0,,,12.989642
1053,307,0,,,13.021303
1083,307,0,,,12.979149
81,311,0,,,12.982296
159,311,0,,,12.962305
217,311,0,,,12.992104
247,311,0,,,12.947436
307,311,0,,,12.942823
471,311,0,,,12.997551
1053,311,0,,,12.989355
487,311,0,,,13.046951
1083,311,0,,,12.995328
81,313,0,,,12.942492
159,313,0,,,12.964474
247,313,0,,,12.917142
217,313,0,,,12.948701
307,313,0,,,13.065872
471,313,0,,,13.049762
1053,313,0,,,13.040162
487,313,0,,,13.104600
1083,313,0,,,12.902295
81,317,0,,,12.933313
159,317,0,,,12.975929
217,317,0,,,12.962978
247,317,0,,,12.916084
471,317,0,,,12.982606
307,317,0,,,13.043092
487,317,0,,,13.006235
1053,317,0,,,12.917817
1083,317,0,,,12.864853
81,331,0,,,12.867603
159,331,0,,,12.888582
217,331,0,,,12.991026
247,331,0,,,12.943599
307,331,0,,,12.986797
471,331,0,,,12.944548
487,331,0,,,12.989129
1053,331,0,,,12.978220
1083,331,0,,,12.985271
81,337,0,,,12.974790
159,337,0,,,12.895787
217,337,0,,,12.905156
247,337,0,,,12.843804
307,337,0,,,12.905971
471,337,0,,,13.023293
1053,337,0,,,13.026221
487,337,0,,,13.041096
1083,337,0,,,13.001743
81,347,0,,,12.932718
159,347,0,,,12.961160
247,347,0,,,12.910728
217,347,0,,,12.960194
307,347,0,,,12.938982
471,347,0,,,12.925210
1053,347,0,,,12.932260
487,347,0,,,12.948612
1083,347,0,,,12.924769
81,349,0,,,12.912554
159,349,0,,,12.950334
217,349,0,,,12.952337
247,349,0,,,12.984376
307,349,0,,,12.996634
487,349,0,,,12.964617
471,349,0,,,12.986720
1053,349,0,,,12.872832
1083,349,0,,,12.861289
81,353,0,,,12.871546
159,353,0,,,12.888328
217,353,0,,,12.944714
247,353,0,,,12.907550
471,353,0,,,12.903451
307,353,0,,,12.937555
487,353,0,,,12.950584
1053,353,0,,,12.958265
1083,353,0,,,13.006159
81,359,0,,,13.022439
159,359,0,,,12.947283
217,359,0,,,12.903988
247,359,0,,,12.835363
307,359,0,,,12.869363
471,359,0,,,12.924612
487,359,0,,,12.927789
1053,359,0,,,12.916130
1083,359,0,,,12.952905
81,367,0,,,12.931432
159,367,0,,,12.926188
217,367,0,,,12.963328
247,367,0,,,12.924168
307,367,0,,,12.937551
471,367,0,,,12.918410
487,367,0,,,12.912363
1053,367,0,,,12.922567
1083,367,0,,,13.003431
81,373,0,,,13.007237
159,373,0,,,13.029815
217,373,0,,,13.040043
247,373,0,,,13.039065
307,373,0,,,13.048817
471,373,0,,,13.067010
487,373,0,,,13.080763
1053,373,0,,,12.927711
1083,373,0,,,12.914738
81,379,0,,,12.927996
159,379,0,,,12.934289
217,379,0,,,13.050654
247,379,0,,,12.976763
307,379,0,,,13.033842
471,379,0,,,12.991751
487,379,0,,,12.866527
1053,379,0,,,12.863228
1083,379,0,,,12.888237
81,383,0,,,12.900732
159,383,0,,,13.005548
217,383,0,,,13.069868
247,383,0,,,12.949200
307,383,0,,,13.012945
471,383,0,,,12.955110
487,383,0,,,12.955074
1053,383,0,,,12.921067
1083,383,0,,,12.945526
