offset,sigma,solved,method,witness,seconds
81,11,0,,,7.708470
159,11,0,,,7.532482
217,11,0,,,7.472377
247,11,0,,,7.036162
307,11,0,,,6.970118
471,11,0,,,7.263663
487,11,0,,,7.614978
1053,11,0,,,7.011482
81,13,0,,,7.471185
159,13,0,,,7.484637
217,13,0,,,7.927230
247,13,0,,,7.890334
307,13,0,,,7.684107
471,13,0,,,8.147587
487,13,0,,,7.958468
1053,13,0,,,7.734998
81,17,0,,,7.831961
159,17,0,,,7.942531
217,17,0,,,7.270349
247,17,0,,,7.453867
307,17,0,,,7.874966
471,17,0,,,7.783113
487,17,0,,,7.782922
1053,17,0,,,7.423509
81,19,0,,,7.152671
159,19,0,,,6.899809
217,19,0,,,7.355091
247,19,0,,,7.126035
307,19,0,,,7.503869
471,19,0,,,7.006596
487,19,0,,,7.643663
1053,19,0,,,7.382050
81,23,0,,,7.329714
159,23,0,,,7.800493
217,23,0,,,7.428931
247,23,0,,,7.774238
307,23,0,,,7.446498
471,23,0,,,7.554959
487,23,0,,,6.914301
1053,23,0,,,7.442695
81,29,0,,,7.212628
159,29,0,,,7.562381
217,29,0,,,8.017458
247,29,0,,,7.744830
307,29,0,,,7.491201
471,29,0,,,7.787621
487,29,0,,,7.802954
1053,29,0,,,7.344053
81,31,0,,,7.621145
159,31,0,,,7.775933
217,31,0,,,7.739475
247,31,0,,,6.923098
307,31,0,,,8.152658
471,31,0,,,7.787794
487,31,0,,,7.522613
1053,31,0,,,7.433238
81,37,0,,,7.115376
159,37,0,,,7.258409
217,37,0,,,7.593640
247,37,0,,,6.968451
307,37,0,,,7.400596
471,37,0,,,7.134624
487,37,0,,,6.854524
1053,37,0,,,7.133754
81,41,0,,,7.324345
159,41,0,,,7.250813
217,41,0,,,7.635167
247,41,0,,,7.050817
307,41,0,,,7.289391
471,41,0,,,7.404662
487,41,0,,,7.374164
1053,41,0,,,6.961302
81,43,0,,,7.519194
159,43,0,,,7.952548
217,43,0,,,8.099349
247,43,0,,,7.263383
307,43,0,,,7.824942
471,43,0,,,7.769894
487,43,0,,,7.855819
1053,43,0,,,6.913521
81,47,0,,,7.086227
159,47,0,,,7.487808
217,47,0,,,7.634371
247,47,0,,,7.912294
307,47,0,,,7.172718
471,47,0,,,7.684048
487,47,0,,,7.599138
1053,47,0,,,7.680931
81,53,0,,,7.613678
159,53,0,,,7.777792
217,53,0,,,7.660161
247,53,0,,,7.321276
307,53,0,,,7.933083
471,53,0,,,8.025839
487,53,0,,,7.309973
1053,53,0,,,7.529111
81,59,0,,,7.940470
159,59,0,,,7.409422
217,59,0,,,7.600774
247,59,0,,,7.111594
307,59,0,,,7.504925
471,59,0,,,7.216044
487,59,0,,,7.675627
1053,59,0,,,7.111512
81,61,0,,,7.718595
159,61,0,,,8.153405
217,61,0,,,7.618773
247,61,0,,,7.929455
307,61,0,,,7.717171
471,61,0,,,7.828081
487,61,0,,,7.305714
1053,61,0,,,7.713115
81,67,0,,,7.841330
159,67,0,,,7.067519
217,67,0,,,7.569799
247,67,0,,,7.456843
307,67,0,,,7.362708
471,67,0,,,7.666219
487,67,0,,,7.641548
1053,67,0,,,7.206152
81,71,0,,,7.549828
159,71,0,,,7.230611
217,71,0,,,7.239752
247,71,0,,,7.702004
307,71,0,,,7.546659
471,71,0,,,7.853979
487,71,0,,,7.261521
1053,71,0,,,7.589714
81,73,0,,,7.778450
159,73,0,,,7.929378
217,73,0,,,7.497687
247,73,0,,,7.363933
307,73,0,,,7.018674
471,73,0,,,7.330019
487,73,0,,,7.243124
1053,73,0,,,7.440471
81,79,0,,,7.991568
159,79,0,,,7.636136
217,79,0,,,7.654643
247,79,0,,,7.809534
