scale,q,candidate,factor_signature,third_factor,third_remainder,fourth_factor,fourth_remainder,fourth_remainder_tau,fourth_remainder_family,fourth_remainder_signature,fourth_strip_terminal,fourth_strip_accounted
1000000000000000000,999999999999999989,999999999999999991,23*71*307*2251*6257*141623,307,1994690134861,2251,886135111,4,semiprime_distinct,6257*141623,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999998021,999999999999998023,13*19*29*47*1113157*2668399,29,139606310205221,47,2970347025643,4,semiprime_distinct,1113157*2668399,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999996791,999999999999996793,7^2*59*281*1061*3571*324893,59,345901072293323,281,1230964670083,8,multi_prime_family,1061*3571*324893,fifth_layer_multi_prime,False
1000000000000000000,999999999999996119,999999999999996121,7*109*389*11789*16759*17053,389,3369192775103,11789,285791227,4,semiprime_distinct,16759*17053,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999991079,999999999999991081,7*13*173*191*417793*796009,173,63520294734167,191,332566988137,4,semiprime_distinct,417793*796009,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999989441,999999999999989443,7^3*13^2*6701*2574420929,7,2915451895043701,13,224265530387977,8,multi_prime_family,13*6701*2574420929,fifth_layer_multi_prime,False
1000000000000000000,999999999999984449,999999999999984451,13*29*79*389*1663*4007*12953,79,33576201188597,389,86314141873,8,multi_prime_family,1663*4007*12953,fifth_layer_multi_prime,False
1000000000000000000,999999999999984149,999999999999984151,7^2*31*131*163*30830695793,31,658327847267929,131,5025403414259,4,semiprime_distinct,163*30830695793,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999983267,999999999999983269,7^3*43*2528717*26812493,7,2915451895043683,43,67801206861481,4,semiprime_distinct,2528717*26812493,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999981719,999999999999981721,13*19*37*43*683*1601*2327131,37,109421162052739,43,2544678187273,8,multi_prime_family,683*1601*2327131,fifth_layer_multi_prime,False
1000000000000000000,999999999999976721,999999999999976723,11^2*167*359*547*252009193,167,49487801256989,359,137849028571,4,semiprime_distinct,547*252009193,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999974717,999999999999974719,127*131*167*181*33083*60107,167,359922098461,181,1988519881,4,semiprime_distinct,33083*60107,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999962201,999999999999962203,11^2*31*4567*101537*574907,31,266595574513453,4567,58374332059,4,semiprime_distinct,101537*574907,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999958571,999999999999958573,7^4*11^2*17*21617*9366517,7,2915451895043611,7,416493127863373,24,multi_prime_family,11^2*17*21617*9366517,fifth_layer_multi_prime,False
1000000000000000000,999999999999953621,999999999999953623,11*23*1291*2281*6829*196549,1291,3061633749001,2281,1342233121,4,semiprime_distinct,6829*196549,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999946139,999999999999946141,7*103*347*467*7907*1082447,347,3997010236343,467,8558908429,4,semiprime_distinct,7907*1082447,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999945341,999999999999945343,7^2*23*43*175003*117913121,23,887311446317609,43,20635149914363,4,semiprime_distinct,175003*117913121,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999944051,999999999999944053,11^2*43*163*86753*13591709,43,192196809532951,163,1179121530877,4,semiprime_distinct,86753*13591709,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999941537,999999999999941539,17*37*83*283*41479*1631761,83,19154519508877,283,67683814519,4,semiprime_distinct,41479*1631761,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999935639,999999999999935641,7^2*107*167*20807*54890123,107,190730497806587,167,1142098789261,4,semiprime_distinct,20807*54890123,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999935009,999999999999935011,7*11*17*45341*50263*335213,17,763941940412479,45341,16848811019,4,semiprime_distinct,50263*335213,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999925949,999999999999925951,13*67*73*127*443*1087*257171,73,15727474324897,127,123838380511,8,multi_prime_family,443*1087*257171,fifth_layer_multi_prime,False
1000000000000000000,999999999999925469,999999999999925471,23*163*199*397*30829*109517,199,1340390938421,397,3376299593,4,semiprime_distinct,30829*109517,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999923921,999999999999923923,7*11*13*19*401*131119700617,13,999000999000923,19,52578999947417,4,semiprime_distinct,401*131119700617,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999921467,999999999999921469,23*31*41*179*3301*4679*12373,41,34207915711693,179,191105674367,8,multi_prime_family,3301*4679*12373,fifth_layer_multi_prime,False
1000000000000000000,999999999999916067,999999999999916069,7*11*29*71*283*9391*2373311,29,447828034034893,71,6307437099083,8,multi_prime_family,283*9391*2373311,fifth_layer_multi_prime,False
1000000000000000000,999999999999915479,999999999999915481,7*151*223*3089*31151*44089,223,4242483380071,3089,1373416439,4,semiprime_distinct,31151*44089,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999913631,999999999999913633,7*29*1699*6959*15583*26737,1699,2899416347489,6959,416642671,4,semiprime_distinct,15583*26737,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999911237,999999999999911239,7^3*31*545939*172266197,7,2915451895043473,31,94046835323983,4,semiprime_distinct,545939*172266197,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999909959,999999999999909961,13*107*113*139*36293*1261121,113,6362011158967,139,45769864453,4,semiprime_distinct,36293*1261121,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999905357,999999999999905359,7^2*13*179*977*8053*1114693,13,1569858712715707,179,8770160406233,8,multi_prime_family,977*8053*1114693,fifth_layer_multi_prime,False
1000000000000000000,999999999999902009,999999999999902011,11*23*71*863*238291*270709,71,55669988309297,863,64507518319,4,semiprime_distinct,238291*270709,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999901577,999999999999901579,7*19*37*47*1447*25469*117319,37,203210729526499,47,4323632543117,8,multi_prime_family,1447*25469*117319,fifth_layer_multi_prime,False
1000000000000000000,999999999999898697,999999999999898699,17*23*61*173*181*7907*169339,61,41926963230049,173,242352388613,8,multi_prime_family,181*7907*169339,fifth_layer_multi_prime,False
1000000000000000000,999999999999893597,999999999999893599,7^2*17*19*97*1451*3191*140681,17,1200480192076703,19,63183168004037,16,multi_prime_family,97*1451*3191*140681,fifth_layer_multi_prime,False
1000000000000000000,999999999999887759,999999999999887761,7*47*59*67*156059*4927067,59,51517180979851,67,768913148953,4,semiprime_distinct,156059*4927067,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999887027,999999999999887029,11*13^3*41*593*1701918299,13,537923614846631,13,41378739603587,8,multi_prime_family,41*593*1701918299,fifth_layer_multi_prime,False
1000000000000000000,999999999999883877,999999999999883879,29*179*541*1811*3001*65519,541,356083381909,1811,196622519,4,semiprime_distinct,3001*65519,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999881051,999999999999881053,17*151*173*523*983*4379987,173,2251790736583,523,4305527221,4,semiprime_distinct,983*4379987,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999879317,999999999999879319,7*17*67*449*6661*41936527,67,125423303649803,449,279339206347,4,semiprime_distinct,6661*41936527,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999878777,999999999999878779,11*19^2*43*103*56858373581,19,251825736590249,43,5856412478843,4,semiprime_distinct,103*56858373581,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999876269,999999999999876271,11*19*31*37^2*3449*32688529,31,154344806297249,37,4171481251277,8,multi_prime_family,37*3449*32688529,fifth_layer_multi_prime,False
1000000000000000000,999999999999874109,999999999999874111,7*131*277*773*14867*342569,277,3936868378679,773,5092973323,4,semiprime_distinct,14867*342569,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999873809,999999999999873811,17*61*83*97*2357*3733*13613,83,11618315111941,97,119776444453,8,multi_prime_family,2357*3733*13613,fifth_layer_multi_prime,False
1000000000000000000,999999999999872891,999999999999872893,7*17*23*59*307*20171343053,23,365363536718989,59,6192602317271,4,semiprime_distinct,307*20171343053,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999868061,999999999999868063,7*19*23*67*18059*270179269,23,326904217064357,67,4879167418871,4,semiprime_distinct,18059*270179269,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999860087,999999999999860089,31*109*293*709*19483*73121,293,1010053058087,709,1424616443,4,semiprime_distinct,19483*73121,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999848741,999999999999848743,7*23*31*37*181*257*116412337,31,200360649168473,37,5415152680229,8,multi_prime_family,181*257*116412337,fifth_layer_multi_prime,False
1000000000000000000,999999999999846641,999999999999846643,7*29*103*673*6287*11303377,103,47826294896927,673,71064331199,4,semiprime_distinct,6287*11303377,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999844127,999999999999844129,11*13*17*97*1997*2123563451,17,411353352529759,97,4240756211647,4,semiprime_distinct,1997*2123563451,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999843137,999999999999843139,11^2*67*691*829*215331343,67,123350191192777,691,178509683347,4,semiprime_distinct,829*215331343,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999841319,999999999999841321,13*317*337*521*3691*374443,337,720058007873,521,1382069113,4,semiprime_distinct,3691*374443,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999839207,999999999999839209,7^3*53*101*277*641*3067403,7,2915451895043263,53,55008526321571,16,multi_prime_family,101*277*641*3067403,fifth_layer_multi_prime,False
1000000000000000000,999999999999828617,999999999999828619,11^3*19*1229*6701*4801499,11,751314800901449,19,39542884257971,8,multi_prime_family,1229*6701*4801499,fifth_layer_multi_prime,False
1000000000000000000,999999999999826607,999999999999826609,7*31*71*79*20287*40498319,71,64905562406687,79,821589397553,4,semiprime_distinct,20287*40498319,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999823289,999999999999823291,7*79*107*977*51361*336793,107,16900170691721,977,17298025273,4,semiprime_distinct,51361*336793,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999822281,999999999999822283,7*11*29*211*911*3391*687041,29,447828034034851,211,2122407744241,8,multi_prime_family,911*3391*687041,fifth_layer_multi_prime,False
1000000000000000000,999999999999813551,999999999999813553,13*23*83*197*26993*7577629,83,40294959100609,197,204542939597,4,semiprime_distinct,26993*7577629,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999811919,999999999999811921,11^2*179*251*367*501212407,179,46170183295619,251,183944953369,4,semiprime_distinct,367*501212407,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999807299,999999999999807301,11*19^2*131*44647*43056283,19,251825736590231,131,1922333867101,4,semiprime_distinct,44647*43056283,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999804347,999999999999804349,7*13*17*2161*2287*130794281,17,646412411118167,2161,299126520647,4,semiprime_distinct,2287*130794281,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999803339,999999999999803341,7^2*11*23*67*239*1289*3908029,11,1855287569572919,23,80664676937953,16,multi_prime_family,67*239*1289*3908029,fifth_layer_multi_prime,False
1000000000000000000,999999999999802481,999999999999802483,11^2*137*257*347*676443401,137,60324546057779,257,234725860147,4,semiprime_distinct,347*676443401,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999800567,999999999999800569,7*11*31*37*550189*20579459,31,418935902806787,37,11322591967751,4,semiprime_distinct,550189*20579459,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999798521,999999999999798523,11*19*31*1117*2441*56607121,31,154344806297237,1117,138177982361,4,semiprime_distinct,2441*56607121,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999795947,999999999999795949,7*11^2*157*1697*3413*1298371,11,1180637544273667,157,7519984358431,8,multi_prime_family,1697*3413*1298371,fifth_layer_multi_prime,False
1000000000000000000,999999999999793049,999999999999793051,7^2*19*29*443*83608146343,19,1074113856068521,29,37038408829949,4,semiprime_distinct,443*83608146343,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999792317,999999999999792319,11^2*41*331*761*24859*32191,41,201572263656479,331,608979648509,8,multi_prime_family,761*24859*32191,fifth_layer_multi_prime,False
1000000000000000000,999999999999791831,999999999999791833,7*29*43*107*971*1102636841,43,114560659869377,107,1070660372611,4,semiprime_distinct,971*1102636841,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999790991,999999999999790993,7^2*431*2399*15733*1254541,431,47350726833647,2399,19737693553,4,semiprime_distinct,15733*1254541,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999790697,999999999999790699,7^2*13^2*139*379*16417*139627,13,1569858712715527,13,120758362516579,16,multi_prime_family,139*379*16417*139627,fifth_layer_multi_prime,False
1000000000000000000,999999999999789059,999999999999789061,7*13*19*47*661*71647*259841,19,578368999421509,47,12305723391947,8,multi_prime_family,661*71647*259841,fifth_layer_multi_prime,False
1000000000000000000,999999999999786641,999999999999786643,11*13^2*23*8641*2706629239,13,537923614846577,23,23387983254199,4,semiprime_distinct,8641*2706629239,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999778061,999999999999778063,11*13*31*47*353*431*31546591,31,225580870742111,47,4799592994513,8,multi_prime_family,353*431*31546591,fifth_layer_multi_prime,False
1000000000000000000,999999999999776807,999999999999776809,11*17*67^2*103*563*20542967,67,79814829595321,67,1191266113363,8,multi_prime_family,103*563*20542967,fifth_layer_multi_prime,False
1000000000000000000,999999999999764669,999999999999764671,17*31*101*137*977*1289*108893,101,18787457493373,137,137134726229,8,multi_prime_family,977*1289*108893,fifth_layer_multi_prime,False
1000000000000000000,999999999999763241,999999999999763243,13*17*1039*4013*19891*54559,1039,4355040305897,4013,1085233069,4,semiprime_distinct,19891*54559,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999762221,999999999999762223,7*11*17*251*3719*11239*72817,17,763941940412347,251,3043593388097,8,multi_prime_family,3719*11239*72817,fifth_layer_multi_prime,False
1000000000000000000,999999999999760247,999999999999760249,7*79*211*271*9349*3382657,211,8570228739403,271,31624460293,4,semiprime_distinct,9349*3382657,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999759071,999999999999759073,7*53*73*127*367*21799*36341,73,36923531366531,127,290736467453,8,multi_prime_family,367*21799*36341,fifth_layer_multi_prime,False
1000000000000000000,999999999999749519,999999999999749521,23*43^2*101*809*287783147,43,23514473158223,101,232816565923,4,semiprime_distinct,809*287783147,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999735719,999999999999735721,7^2*23*1201*208699*3540077,23,887311446317423,1201,738810529823,4,semiprime_distinct,208699*3540077,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999729887,999999999999729889,17*29*31*83*488833*1612697,31,65432179545883,83,788339512601,4,semiprime_distinct,488833*1612697,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999729167,999999999999729169,7*59*263*269*21961*1558439,263,9206492418451,269,34224878879,4,semiprime_distinct,21961*1558439,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999726899,999999999999726901,7^2*83*113*10357*210093883,83,245881485124103,113,2175942346231,4,semiprime_distinct,10357*210093883,fourth_strip_semiprime_distinct,True
