p,q,gap_len,w,tau_w,frac_pos,budget,packet
3,5,2,4,3,0.5,0.6931471805599453,d3_prime_square
23,29,6,25,3,0.3333333333333333,24.361941827854157,d3_prime_square
59,61,2,60,12,0.5,20.471722811110503,d8_plus
97,101,4,98,6,0.25,34.478270308568646,d6
137,139,2,138,8,0.5,14.781761055471616,d8_plus
179,181,2,180,18,0.5,41.54365480712168,d8_plus
227,229,2,228,12,0.5,27.146728144772204,d8_plus
263,269,6,265,4,0.3333333333333333,78.1310850937775,d4_semiprime
311,313,2,312,16,0.5,40.201022314666375,d8_plus
359,367,8,361,3,0.25,138.46559989744392,d3_prime_square
409,419,10,411,4,0.2,132.58312419528804,d4_semiprime
457,461,4,458,4,0.25,55.17015226171153,d4_semiprime
503,509,6,505,4,0.3333333333333333,118.27049228826213,d4_semiprime
569,571,2,570,16,0.5,44.41945452580018,d8_plus
607,613,6,611,4,0.6666666666666666,128.27566130373282,d4_semiprime
653,659,6,655,4,0.3333333333333333,84.32158327672838,d4_semiprime
709,719,10,713,4,0.4,151.11478903239103,d4_semiprime
761,769,8,763,4,0.25,139.45559928209934,d4_semiprime
823,827,4,824,8,0.25,73.86921284196475,d8_plus
877,881,4,878,4,0.25,74.57572865857055,d4_semiprime
929,937,8,933,4,0.5,184.65076775515217,d4_semiprime
983,991,8,985,4,0.25,213.74886429742327,d4_semiprime
1033,1039,6,1037,4,0.6666666666666666,118.02920620720664,d4_semiprime
1091,1093,2,1092,24,0.5,76.95342771935336,d8_plus
1151,1153,2,1152,24,0.5,77.54180325381421,d8_plus
1213,1217,4,1214,4,0.25,85.23410512564936,d4_semiprime
1277,1279,2,1278,12,0.5,35.7652581746874,d8_plus
1303,1307,4,1306,4,0.75,64.56409113608014,d4_semiprime
1381,1399,18,1382,4,0.05555555555555555,354.624273937246,d4_semiprime
1447,1451,4,1448,8,0.25,94.6235546075135,d8_plus
1489,1493,4,1492,6,0.75,58.45694670264014,d6
1553,1559,6,1555,4,0.3333333333333333,110.24359797354323,d4_semiprime
1607,1609,2,1608,16,0.5,51.679225148172385,d8_plus
1663,1667,4,1665,12,0.5,126.09766347537474,d8_plus
1721,1723,2,1722,16,0.5,52.15869179491373,d8_plus
1783,1787,4,1784,8,0.25,97.33325708322538,d8_plus
1861,1867,6,1865,4,0.6666666666666666,120.48391923362782,d4_semiprime
1907,1913,6,1909,4,0.3333333333333333,151.09402220494903,d4_semiprime
1987,1993,6,1991,4,0.6666666666666666,159.5136814545841,d4_semiprime
2029,2039,10,2031,4,0.2,205.66965250872957,d4_semiprime
2087,2089,2,2088,24,0.5,84.08358143902782,d8_plus
2141,2143,2,2142,24,0.5,84.36444776108463,d8_plus
2221,2237,16,2227,4,0.375,400.8857211906641,d4_semiprime
2281,2287,6,2283,4,0.3333333333333333,92.80595090444974,d4_semiprime
2341,2347,6,2342,4,0.16666666666666666,131.91855655890683,d4_semiprime
2389,2393,4,2391,4,0.5,85.57580870772865,d4_semiprime
2447,2459,12,2449,4,0.16666666666666666,343.3988459666849,d4_semiprime
2531,2539,8,2533,4,0.25,195.95108027328263,d4_semiprime
2593,2609,16,2594,4,0.0625,404.9822098301695,d4_semiprime
